,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
29,LEO,USA,Aerospace Corporation,Commercial,Technology Development,481.0,487.0,0.000438,51.6,94.2,4.0,2018,5.4,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
30,LEO,USA,Aerospace Corporation,Commercial,Technology Development,481.0,487.0,0.000438,51.6,94.2,4.0,2018,5.4,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
34,LEO,USA,Aerospace Corporation,Commercial,Technology Development,500.0,802.0,0.0215,64.78,97.74,2.0,2015,5.4,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
35,LEO,USA,Aerospace Corporation,Commercial,Technology Development,614.0,700.0,0.00612,97.98,97.88,5.0,2014,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
36,LEO,USA,Aerospace Corporation,Commercial,Technology Development,614.0,700.0,0.00612,97.98,97.88,5.0,2014,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
37,LEO,USA,Aerospace Corporation,Commercial,Technology Development,500.0,802.0,0.0215,64.6,97.4,2.0,2015,5.4,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
38,LEO,USA,Aerospace Corporation,Commercial,Technology Development,569.0,584.0,0.00108,97.9,96.2,5.0,2016,5.4,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
39,LEO,USA,Aerospace Corporation,Commercial,Technology Development,572.0,584.0,0.000864,98.0,96.23,2.0,2016,5.4,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
40,GEO,Multinational,EUTELSAT S.A.,Commercial,Communications,35764.0,35808.0,0.000522,0.12,1436.08,3460.0,2008,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5
41,LEO,Lithuania,Aurora Insight,Commercial,Communications,609.0,613.0,0.000286,97.8,95.8,9.0,2021,5.4,NanoAvionics,USA,Guiana Space Center,Vega W18
42,LEO,Lithuania,Aurora Insight,Commercial,Communications,522.0,535.0,0.000942,97.5,95.2,9.0,2021,5.4,NanoAvionics,USA,Cape Canaveral,Falcon 9
43,LEO,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,544.0,552.0,0.000578,97.9,96.2,215.0,2007,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL
44,LEO,Norway,Norwegian Coastal Admnistration,Government,Communications,615.0,632.0,0.00122,98.0,97.2,6.0,2010,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV
45,LEO,Norway,Norwegian Coastal Admnistration,Government,Communications,625.0,631.0,0.000429,98.4,97.27,6.0,2014,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
46,LEO,Spain,AISTech,Commercial,Earth Observation,574.0,592.0,0.00129,97.8,96.4,3.0,2018,5.4,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9
47,LEO,Spain,AISTech,Commercial,Earth Observation,490.0,506.0,0.00116,97.5,94.6,2.0,2019,5.4,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV
48,GEO,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,35777.0,35796.0,0.000225,0.0,1436.0,3795.0,2018,15.0,Orbital ATK,USA,Guiana Space Center,Ariane 5
49,LEO,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,573.0,589.0,0.00115,97.7,96.2,4.0,2018,5.4,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9
50,GEO,Algeria,Algerian Space Agency (ASAL),Government,Communications,35744.0,35798.0,0.000641,0.04,1436.1,5225.0,2017,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
51,LEO,Japan,Astro Live Experiences,Commercial,Earth Science,397.0,414.0,0.00125,97.01,92.06,75.0,2019,5.4,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron
52,LEO,Brazil,University of Brasilia,Civil,Technology Development,499.0,511.0,511.0,97.4,95.0,1.0,2022,5.4,University of Brasilia,Brazil,Cape Canaveral,Falcon 9
53,LEO,USA,US Air Force Institute of Technology,Military,Technology Development,443.0,886.0,0.0315,120.3,98.0,5.0,2013,5.4,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5
54,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,661.0,704.0,0.00305,98.2,98.4,103.0,2016,5.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
55,LEO,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,661.0,698.0,0.00262,98.2,98.3,10.0,2016,5.4,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
56,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,672.0,674.0,0.000142,98.1,98.2,130.0,2010,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
57,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,646.0,660.0,0.000997,98.2,97.7,117.0,2016,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
