,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
1168,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,500.0,500.0,0.0,97.3,94.6,1600.0,2018,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
1169,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,477.0,479.0,0.000146,97.3,94.3,1500.0,2023,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
1170,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,588.0,591.0,0.000216,97.69,96.47,1600.0,2011,5.0,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A
1171,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,512.0,514.0,0.000145,97.46,94.89,1600.0,2011,5.0,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A
1172,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,509.0,514.0,0.000363,97.5,94.85,1600.0,2013,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
1173,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,512.0,523.0,0.000799,97.5,94.85,1600.0,2013,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
1174,LEO,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,510.0,510.0,0.0,97.5,94.85,1600.0,2015,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
1175,LEO,Turkey,TÜBİTAK Space Technologies Research Institute,Civil,Earth Observation,668.0,679.0,0.000781,98.1,95.0,800.0,2023,5.0,TÜBİTAK Space Technologies Research Institute,Turkey,Vandenberg AFB,Falcon 9
1176,Elliptical,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1111.0,37564.0,0.709,63.0,684.0,4000.0,2006,5.4,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4
1177,Elliptical,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1112.0,37580.0,0.709,63.56,684.0,4200.0,2008,5.4,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
1178,Elliptical,USA,National Reconnaissance Office (NRO),Military,Earth Observation,2103.0,37746.0,0.678,62.85,707.55,4200.0,2014,5.4,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
1179,Elliptical,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1738.0,38111.0,0.692,63.8,707.7,8000.0,2017,5.4,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
1180,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35761.0,35810.0,0.000581,0.09,1436.07,2074.0,1996,13.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas
1181,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35769.0,35803.0,0.000403,0.04,1436.07,2000.0,1998,13.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
1182,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35772.0,35799.0,0.00032,2.3,1436.08,5959.0,2005,15.0,EADS Astrium,France/UK/Germany,Cape Canaveral,Atlas 5
1183,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35773.0,35800.0,0.00032,2.33,1436.11,5458.0,2005,15.0,EADS Astrium,France/UK/Germany,Sea Launch Odyssey,Zenit 3SL
1184,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35775.0,35798.0,0.000273,3.01,1436.1,5960.0,2008,15.0,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M
1185,GEO,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency (ESA)",Government/Commercial,Communications/Technology Development,35786.0,35787.0,1.19e-05,0.02,1436.09,6650.0,2013,15.0,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
1186,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35784.0,35790.0,7.12e-05,0.06,1436.13,6070.0,2013,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
1187,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35784.0,35789.0,5.93e-05,0.03,1436.0,6105.0,2015,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
1188,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35780.0,35780.0,0.0,0.0,1436.1,6100.0,2015,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
1189,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35782.0,35789.0,8.3e-05,0.0,1436.08,6086.0,2017,15.0,Boeing Corp.,USA,Cape Canaveral,Falcon 9
1190,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35672.0,35686.0,0.000166,0.08,1430.0,4007.0,2019,15.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
1191,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35785.0,35786.0,1.19e-05,0.0,1436.1,5470.0,2021,15.0,Airbus Defence and Space,France/UK/Germany/Spain,Tanegashima Space Center,H2A
1192,GEO,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,35785.0,35786.0,1.19e-05,0.0,1436.1,5465.0,2023,15.0,Airbus Defence and Space,UK/France/Germany/Spain,Cape Canaveral,Falcon 9
1193,LEO,Malaysia,Astronautic Technology Sdn. Bhd (ATSB),Government,Technology Development,476.0,500.0,0.00175,97.5,95.0,4.0,2018,5.4,ATSB,Malaysia,Satish Dhawan Space Centre,PSLV
1194,LEO,India,Indian Space Research Organization (ISRO),Government,Earth Observation,496.0,508.0,0.000873,97.5,94.6,8.0,2017,5.4,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL
1195,LEO,India,Indian Space Research Organization (ISRO),Government,Earth Observation,496.0,508.0,0.000873,97.5,94.6,8.0,2017,5.4,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL
1196,LEO,India,Indian Space Research Organization (ISRO),Government,Technology Development,495.0,508.0,0.000946,97.5,94.6,5.0,2018,0.5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV
1197,LEO,India,Indian Space Research Organization (ISRO),Government,Earth Observation,520.0,533.0,0.000943,97.5,94.6,18.0,2022,5.4,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL
1198,GEO,India,Indian Space Research Organization (ISRO),Government,Earth Observation,35782.0,35791.0,0.000107,0.24,1436.09,2090.0,2013,5.4,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA
1199,GEO,India,Indian Space Research Organization (ISRO),Government,Earth Observation,35722.0,35851.0,0.00153,0.03,1436.1,2200.0,2016,10.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,GSLV Mk.2
1200,LEO,USA/India/Singapore/Taiwan,University of Colorado’s Laboratory for Atmospheric and Space Physics/Indian Institute of Space Science and Technology,Civil/Government,Earth Science,520.0,533.0,0.000943,97.6,95.4,8.0,2022,5.4,University of Colorado’s Laboratory for Atmospheric and Space Physics/Indian Institute of Space Science and Technology,India,Satish Dhawan Space Centre,PSLV XL
1201,LEO,France,"NRS Lab. Atmospheres, Milieux, Observations Spatiales (Verrieres) ",Government,Earth/Space Observation,487.0,507.0,0.00146,97.4,95.4,3.0,2023,5.4,NRS Lab Atmospheres/Innovative Solutions In Space B.V.  ,France/Netherlands,Vandenberg AFB,Falcon 9
1202,Elliptical,ESA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Science,6292.0,156833.0,0.856,53.95,4032.86,4000.0,2002,2.0,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton
1203,GEO,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,35776.0,35796.0,0.000237,0.04,1436.08,3739.0,2001,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton
1204,GEO,USA,Intelsat S.A.,Commercial,Communications,35783.0,35789.0,7.12e-05,0.02,1436.08,5576.0,2004,13.0,EADS Astrium,UK/France/Germany/Spain,Baikonur Cosmodrome,Proton
1205,GEO,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,35778.0,35795.0,0.000202,0.03,1436.1,2491.0,2007,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5
1206,GEO,USA,Intelsat S.A.,Commercial,Communications,35776.0,35796.0,0.000237,0.0,1436.09,4167.0,2000,18.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP
1207,GEO,USA,Intelsat S.A.,Commercial,Communications,35771.0,35800.0,0.000344,0.02,1436.05,5613.0,2009,16.0,Space Systems/Loral,USA,Cape Canaveral,Atlas
1208,GEO,USA,Intelsat S.A./Sky Perfect JSAT Corp.,Commercial,Communications,35776.0,35798.0,0.000261,0.05,1436.12,2550.0,2009,17.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB
1209,GEO,USA,Intelsat S.A.,Commercial,Communications,35783.0,35791.0,9.49e-05,0.07,1436.19,2450.0,2010,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M
1210,GEO,USA,Intelsat S.A.,Commercial,Communications,35770.0,35804.0,0.000403,0.03,1436.12,5540.0,2010,16.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
1211,GEO,USA,Intelsat S.A.,Commercial,Communications,35775.0,35797.0,0.000261,0.01,1436.09,3200.0,2011,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit
1212,GEO,USA,Intelsat S.A.,Commercial,Communications,35768.0,35801.0,0.000391,0.13,1436.01,5600.0,2012,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit
1213,GEO,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,35785.0,35788.0,3.56e-05,0.06,1436.11,4793.0,2000,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
1214,GEO,USA,Intelsat S.A.,Commercial,Communications,35780.0,35790.0,0.000119,0.02,1436.03,6094.0,2012,18.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
1215,GEO,USA,Intelsat S.A.,Commercial,Communications,35774.0,35811.0,0.000439,0.06,1436.39,5984.0,2012,15.0,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL
1216,GEO,USA,Intelsat S.A.,Commercial,Communications,35781.0,35792.0,0.00013,0.03,1436.11,6199.0,2012,18.0,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton
1217,GEO,USA,Intelsat S.A.,Commercial,Communications,35781.0,35797.0,0.00019,0.03,1436.21,3200.0,2012,18.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M
1218,GEO,USA,Intelsat S.A.,Commercial,Communications,35778.0,35793.0,0.000178,0.02,1436.1,4100.0,2008,16.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
1219,GEO,USA,Intelsat S.A.,Commercial,Communications,35776.0,35793.0,0.000202,0.03,1435.97,6220.0,2014,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
1220,GEO,USA,Intelsat S.A.,Commercial,Communications,35580.0,35860.0,0.00333,0.01,1435.1,6450.0,2016,20.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
1221,GEO,USA,Intelsat S.A.,Commercial,Communications,35549.0,36152.0,0.00714,0.04,1439.36,6600.0,2016,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
1222,GEO,USA,Intelsat S.A.,Commercial,Communications,35777.0,35811.0,0.000403,0.1,1436.1,3300.0,2015,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
1223,GEO,USA,Intelsat S.A.,Commercial,Communications,35778.0,35794.0,0.00019,0.0,1436.09,6761.0,2017,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
1224,GEO,USA,Intelsat S.A.,Commercial,Communications,35785.0,35801.0,0.00019,0.1,1436.1,3250.0,2016,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
1225,GEO,USA,Intelsat S.A.,Commercial,Communications,35775.0,35795.0,0.000237,0.02,1436.1,6438.0,2017,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
1226,GEO,USA,Intelsat S.A.,Commercial,Communications,35784.0,35788.0,4.74e-05,0.0,1436.08,6600.0,2019,15.0,Maxar Technologies,USA,Guiana Space Center,Ariane 5
1227,GEO,USA,Intelsat S.A.,Commercial,Communications,35774.0,35798.0,0.000285,0.0,1436.0,6013.0,2023,15.0,Maxar Technologies,USA,Cape Canaveral,Falcon 9
1228,GEO,USA,Intelsat S.A.,Commercial,Communications,35774.0,35798.0,0.000285,0.03,1436.09,2730.0,1997,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
1229,GEO,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,35782.0,35792.0,0.000119,0.01,1436.14,3659.0,2000,15.0,Hughes Space and Communications Co.,USA,Sea Launch Odyssey,Zenit 3SL
1230,GEO,USA,Intelsat S.A.,Commercial,Communications,35775.0,35798.0,0.000273,0.01,1436.12,4723.0,2001,13.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS
1231,GEO,USA,Intelsat S.A.,Commercial,Communications,35775.0,35797.0,0.000261,0.02,1436.1,4723.0,2001,13.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L
1232,GEO,USA,Intelsat S.A.,Commercial,Communications,35782.0,35789.0,8.3e-05,0.01,1436.07,4680.0,2002,13.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K
1233,GEO,USA,Intelsat S.A.,Commercial,Communications,35768.0,35805.0,0.000439,0.01,1436.12,4723.0,2002,13.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L
1234,GEO,USA,Intelsat S.A.,Commercial,Communications,35775.0,35796.0,0.000249,0.01,1436.07,4723.0,2002,13.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L
1235,GEO,USA,Intelsat S.A.,Commercial,Communications,35800.0,35892.0,0.00109,0.05,1439.15,3000.0,2011,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5
1237,Elliptical,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Space Science,62200.0,268679.0,0.601,15.2,11520.0,462.0,2008,5.4,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL
1238,LEO,Italy,D-Orbit,Commercial,Technology Demonstration,521.0,535.0,0.00101,97.5,95.0,150.0,2020,5.4,D-Orbit,Italy,Guiana Space Center,Vega
1239,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,621.0,0.000859,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1240,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,623.0,0.00093,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1241,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,96.9,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1242,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1243,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,701.0,704.0,0.000212,86.5,98.8,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1244,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,626.0,0.00114,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1245,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,96.9,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1246,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,622.0,0.000859,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1247,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,488.0,718.0,0.0165,86.7,96.7,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1248,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,622.0,0.00107,86.6,96.9,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1249,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,622.0,0.00107,86.6,96.9,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1250,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,624.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1251,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,96.9,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1252,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,623.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1253,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,627.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1254,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,623.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1255,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,625.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1256,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,626.0,0.00114,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1257,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,624.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1258,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,625.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1259,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,626.0,0.00107,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1260,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,624.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1261,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,625.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1262,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1263,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,623.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1264,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,626.0,0.00107,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1265,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,625.0,0.00114,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1266,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,626.0,0.00107,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1267,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,626.0,0.00107,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1268,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,611.0,626.0,0.00107,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1269,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1270,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,622.0,635.0,0.000929,86.6,97.2,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1271,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,626.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1272,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,610.0,626.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1273,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1274,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1275,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1276,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,626.0,0.00122,86.6,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1277,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,626.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1278,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,625.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1279,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,626.0,0.00129,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1280,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,626.0,0.00129,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1281,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,625.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1282,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,626.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1283,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,627.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1284,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,489.0,714.0,0.0161,86.7,96.7,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1285,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,625.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1286,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,626.0,0.00129,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1287,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,606.0,626.0,0.00143,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1288,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,625.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1289,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,493.0,710.0,0.0156,86.7,96.7,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1290,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,625.0,0.00114,86.7,97.0,860.0,2017,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1291,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1292,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,608.0,622.0,0.001,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1293,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,623.0,0.00115,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1294,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,626.0,0.00136,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1295,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,623.0,0.001,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1296,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,607.0,622.0,0.00107,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
1297,LEO,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,609.0,624.0,0.00107,86.6,97.0,860.0,2018,15.0,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9
