,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
103,547.0,572.0,0.0018,97.6,95.0,1.0,5.4
104,1025.0,39754.0,0.724,63.3,717.8,2200.0,7.0
105,493.0,505.0,0.000873,97.5,94.5,10.0,5.4
106,35778.0,35795.0,0.000202,0.01,1436.07,3000.0,15.0
107,35786.0,35801.0,0.000178,0.01,1436.06,2977.0,15.0
108,512.0,535.0,0.00167,97.5,95.1,20.0,5.4
109,522.0,536.0,0.00101,97.5,95.2,5.0,5.4
110,35778.0,35795.0,0.000202,0.0,1436.11,3760.0,15.0
111,35783.0,35793.0,0.000119,0.07,1436.17,3700.0,15.0
112,35782.0,35793.0,0.00013,0.02,1436.17,3813.0,15.0
113,35781.0,35793.0,0.000142,0.07,1436.1,4500.0,15.0
114,35783.0,35790.0,8.3e-05,0.02,1436.1,6140.0,15.0
115,35773.0,35801.0,0.000332,0.02,1436.15,2775.0,15.0
116,506.0,507.0,7.27e-05,97.48,94.75,500.0,3.0
117,493.0,505.0,0.000873,97.3,94.5,570.0,3.0
118,556.0,573.0,0.00123,97.6,94.5,4.0,5.4
119,35780.0,35791.0,0.00013,0.04,1436.08,3379.0,15.0
120,35766.0,35807.0,0.000486,0.08,1436.1,4332.0,15.0
121,35772.0,35798.0,0.000308,0.05,1436.03,4500.0,15.0
122,35804.0,35852.0,0.000569,0.14,1438.2,5345.0,15.0
123,35715.0,35780.0,0.000772,0.12,1434.1,5350.0,15.0
124,35776.0,35797.0,0.000249,0.08,1436.12,3635.0,15.0
125,35768.0,35804.0,0.000427,0.07,1436.12,3643.0,15.0
126,35770.0,35802.0,0.00038,0.07,1436.1,1420.0,15.0
127,35781.0,35793.0,0.000142,0.11,1436.12,6052.0,15.0
128,35777.0,35795.0,0.000213,0.06,1436.07,6000.0,15.0
129,35785.0,35789.0,4.74e-05,0.09,1436.11,6000.0,15.0
130,35770.0,35804.0,0.000403,0.06,1436.07,1500.0,10.0
131,35768.0,35806.0,0.000451,0.08,1436.11,5471.0,15.0
132,35787.0,35793.0,7.12e-05,0.05,1436.26,5724.0,15.0
134,521.0,534.0,0.000942,97.5,94.6,4.0,5.4
135,523.0,535.0,0.00087,97.5,94.6,4.0,5.4
136,522.0,536.0,0.00101,97.5,94.6,4.0,5.4
137,524.0,537.0,0.000942,97.5,94.5,4.0,5.4
138,526.0,535.0,0.000652,97.5,94.5,4.0,5.4
139,512.0,535.0,0.00167,97.5,95.1,4.0,5.4
140,511.0,536.0,0.00181,97.5,95.0,4.0,5.4
141,511.0,536.0,0.00181,97.5,95.0,4.0,5.4
142,513.0,536.0,0.00167,97.5,95.1,4.0,5.4
143,513.0,535.0,0.0016,97.5,95.0,4.0,5.4
144,632.0,649.0,0.00121,5.99,97.54,230.0,5.0
145,35653.0,36757.0,0.013,0.02,1436.07,6350.0,15.0
146,516.0,524.0,0.000581,97.4,94.5,138.0,5.4
147,35784.0,35788.0,4.74e-05,0.05,1436.06,3080.0,15.0
148,532.0,550.0,0.0013,14.98,95.46,6.0,5.4
149,35778.0,35794.0,0.00019,0.04,1436.08,3250.0,15.0
150,35750.0,35750.0,0.0,0.02,1436.1,3500.0,15.0
151,35780.0,35791.0,0.00013,0.07,1436.06,3304.0,15.0
152,35834.0,35883.0,0.00058,0.06,1439.76,5420.0,15.0
153,35605.0,35623.0,0.000214,0.03,1427.27,4940.0,15.0
154,35768.0,35805.0,0.000439,0.05,1436.1,3400.0,15.0
155,35768.0,35817.0,0.000581,0.1,1436.0,5500.0,15.0
156,35778.0,35793.0,0.000178,0.0,1436.06,3500.0,15.0
157,472.0,502.0,0.00219,97.4,95.0,20.0,5.4
158,570.0,586.0,0.00115,97.7,96.1,4000.0,5.0
159,549.0,594.0,0.00324,97.62,96.1,4000.0,5.0
160,337.0,556.0,0.0161,97.7,94.6,3700.0,5.0
161,501.0,514.0,0.000945,97.6,94.6,3700.0,5.0
162,938.0,951.0,0.000889,81.0,104.0,300.0,5.4
163,939.0,950.0,0.000752,81.0,104.0,300.0,5.4
164,497.0,509.0,0.000873,97.4,97.0,1.0,5.4
165,515.0,537.0,0.0016,97.5,95.1,2.0,5.4
166,535.0,558.0,0.00166,97.6,95.5,1.0,5.4
167,535.0,562.0,0.00195,97.6,95.5,1.0,5.4
168,535.0,562.0,0.00195,97.6,95.5,1.0,5.4
169,535.0,556.0,0.00152,97.6,95.5,1.0,5.4
170,514.0,546.0,0.00232,97.5,95.2,1.0,5.4
171,21460.0,21595.0,0.00242,55.16,773.19,2200.0,8.0
172,21452.0,21603.0,0.00271,55.1,773.21,2200.0,8.0
173,21477.0,21574.0,0.00174,55.0,773.1,3800.0,8.0
174,35775.0,35799.0,0.000285,1.84,1436.11,3800.0,8.0
175,35676.0,35890.0,0.00254,54.97,1435.92,4200.0,8.0
176,35776.0,35794.0,0.000213,1.84,1436.1,3800.0,8.0
177,35796.0,36781.0,0.0115,54.9,1461.81,4200.0,8.0
178,35606.0,35953.0,0.00412,55.0,1435.73,4200.0,8.0
179,21520.0,21549.0,0.00052,55.0,773.2,800.0,8.0
180,21521.0,21550.0,0.00052,55.0,773.3,800.0,8.0
181,21506.0,21549.0,0.000771,55.0,773.2,800.0,8.0
182,21509.0,21561.0,0.000932,55.0,773.2,800.0,8.0
183,21515.0,21554.0,0.000699,55.0,773.2,800.0,8.0
184,21541.0,22549.0,0.0177,55.0,773.2,800.0,8.0
185,21514.0,21541.0,0.000484,55.0,773.2,800.0,8.0
186,21516.0,21539.0,0.000412,55.0,773.2,800.0,8.0
187,21508.0,21547.0,0.000699,55.0,773.2,800.0,8.0
188,21504.0,21551.0,0.000842,55.0,773.2,800.0,8.0
189,21521.0,21533.0,0.000215,55.0,773.2,800.0,8.0
190,21542.0,22191.0,0.0115,55.0,773.2,800.0,8.0
191,35691.0,35876.0,0.00219,55.0,1436.1,800.0,8.0
192,21509.0,21545.0,0.000645,55.0,773.2,800.0,8.0
193,21516.0,21538.0,0.000394,55.0,773.2,800.0,8.0
194,21514.0,21540.0,0.000466,55.0,773.2,800.0,8.0
195,21518.0,21537.0,0.000341,55.0,773.2,800.0,8.0
196,21533.0,22193.0,0.0117,55.0,787.1,800.0,8.0
197,21513.0,21541.0,0.000502,55.0,773.1,800.0,8.0
198,21541.0,22195.0,0.0116,55.0,787.4,800.0,8.0
199,21537.0,22195.0,0.0117,55.0,787.4,800.0,8.0
200,35776.0,35795.0,0.000225,3.0,1436.06,800.0,8.0
201,21523.0,22194.0,0.0119,55.0,787.1,800.0,8.0
202,21531.0,22194.0,0.0117,55.0,787.1,800.0,8.0
203,35711.0,35847.0,0.00161,55.0,1435.7,800.0,8.0
204,35773.0,35799.0,0.000308,1.81,1436.06,800.0,8.0
205,35739.0,35838.0,0.00117,55.05,1436.2,800.0,8.0
206,35681.0,35896.0,0.00255,58.2,1436.2,4200.0,8.0
207,21542.0,22194.0,0.0115,54.9,787.4,800.0,8.0
208,21537.0,22192.0,0.0116,54.9,787.2,800.0,8.0
209,21369.0,21561.0,0.00345,55.02,770.6,800.0,8.0
210,21530.0,22108.0,0.0103,55.02,785.35,800.0,8.0
211,35764.0,35809.0,0.000534,3.09,1436.1,800.0,8.0
212,35776.0,35797.0,0.000249,3.08,1436.08,2200.0,8.0
213,35764.0,35809.0,0.000534,1.43,1436.1,6000.0,8.0
214,35776.0,35799.0,0.000273,1.87,1436.15,2300.0,8.0
215,35670.0,35893.0,0.00265,55.09,1435.82,4200.0,8.0
216,35717.0,35817.0,0.00119,55.23,1436.12,4200.0,8.0
217,35693.0,37872.0,0.0252,96.4,1435.93,4200.0,5.4
218,35708.0,35879.0,0.00203,55.2,1435.1,4200.0,8.0
219,35708.0,35864.0,0.00185,55.16,1436.08,4200.0,8.0
221,681.0,703.0,0.00156,97.9,98.6,166.0,7.0
222,479.0,494.0,0.00109,97.4,95.1,50.0,5.4
223,35779.0,35792.0,0.000154,0.46,1436.06,5223.0,15.0
224,500.0,521.0,0.00153,97.9,94.8,92.0,1.5
225,516.0,536.0,0.00145,97.5,95.4,10.0,5.4
226,500.0,517.0,0.00124,97.5,94.7,130.0,5.4
227,497.0,801.0,0.0217,64.78,97.7,1.0,5.4
228,503.0,507.0,0.000291,97.5,94.7,400.0,5.0
229,484.0,500.0,0.00117,97.5,94.7,56.0,5.4
230,428.0,439.0,0.000808,42.0,93.0,55.0,5.4
231,426.0,438.0,0.000882,42.0,93.0,55.0,5.4
232,430.0,439.0,0.000661,42.0,93.0,55.0,5.4
233,433.0,440.0,0.000514,42.0,93.0,55.0,5.4
234,428.0,440.0,0.000882,53.0,95.0,55.0,5.4
235,449.0,457.0,0.000586,42.01,95.0,55.0,5.4
236,577.0,591.0,0.00101,97.7,96.3,55.0,5.4
237,426.0,439.0,0.000956,53.0,95.0,55.0,5.4
238,450.0,461.0,0.000806,45.1,93.7,56.0,5.4
239,538.0,549.0,0.000796,45.01,95.5,56.0,5.4
241,400.0,410.0,0.000738,45.01,95.5,56.0,5.4
242,400.0,410.0,0.000738,45.01,95.5,56.0,5.4
243,448.0,460.0,0.000879,45.0,93.7,56.0,5.4
244,661.0,701.0,0.00284,98.2,98.3,44.0,3.0
245,35781.0,35803.0,0.000261,0.0,1436.0,3000.0,15.0
246,35779.0,35794.0,0.000178,0.0,1436.09,3000.0,15.0
247,35780.0,35792.0,0.000142,0.0,1436.08,3000.0,15.0
248,35599.0,35829.0,0.00273,0.0,1436.0,3000.0,15.0
249,435.0,519.0,0.00613,97.5,94.1,10.0,5.4
250,502.0,518.0,0.00116,53.0,95.4,1500.0,5.4
251,35772.0,35800.0,0.000332,0.07,1436.09,2495.0,12.0
252,495.0,521.0,0.00189,60.7,94.5,10.0,5.4
253,574.0,591.0,0.00122,97.7,96.3,4.0,5.4
254,35702.0,35876.0,0.00206,0.07,1436.2,3540.0,15.0
255,613.0,739.0,0.00894,97.97,98.27,10.0,5.4
256,610.0,633.0,0.00164,98.02,97.1,10.0,2.0
257,536.0,550.0,0.00101,45.01,95.5,8.0,5.4
258,492.0,512.0,0.00146,97.4,95.0,8.0,5.4
259,393.0,398.0,0.00037,97.5,92.3,8.0,5.4
260,520.0,563.0,0.00311,97.6,95.5,8.0,5.4
261,514.0,522.0,0.000581,97.4,94.9,8.0,5.4
262,497.0,509.0,0.000873,97.4,95.4,10.0,5.4
263,520.0,533.0,0.000943,97.5,95.0,10.0,5.4
264,498.0,507.0,0.000655,97.5,95.0,10.0,5.4
265,498.0,508.0,0.000727,97.4,95.0,10.0,5.4
266,35778.0,35794.0,0.00019,0.03,1436.1,1980.0,13.0
267,33066.0,35725.0,0.0326,0.07,1365.61,2060.0,15.0
268,35784.0,35787.0,3.56e-05,0.05,1436.04,2910.0,15.0
269,35719.0,35725.0,7.13e-05,0.02,1432.7,3520.0,15.0
270,35789.0,35798.0,0.000107,0.01,1436.1,3520.0,15.0
271,459.0,819.0,0.0257,97.6,97.4,4.0,5.0
274,570.0,617.0,0.00337,97.99,96.55,25.0,5.4
275,35774.0,35797.0,0.000273,0.0,1436.0,3669.0,15.0
276,493.0,514.0,0.00153,60.7,94.7,4.0,5.4
277,702.0,703.0,7.07e-05,98.2,98.8,587.0,3.0
278,609.0,629.0,0.00143,97.8,97.1,7.0,5.4
279,642.0,659.0,0.00121,97.74,98.26,15.0,5.4
280,643.0,656.0,0.000926,98.26,97.72,15.0,5.4
281,661.0,701.0,0.00284,98.2,98.3,15.0,5.4
282,493.0,517.0,0.00175,60.68,94.7,1.0,5.4
283,597.0,602.0,0.000359,44.0,96.0,112.0,5.4
284,566.0,587.0,0.00151,53.0,95.6,100.0,5.4
285,520.0,535.0,0.00109,97.5,94.7,112.0,5.4
286,521.0,535.0,0.00101,97.5,95.7,112.0,5.4
287,586.0,612.0,0.00187,44.1,96.0,112.0,5.4
288,618.0,619.0,7.15e-05,97.9,97.1,1560.0,6.0
289,632.0,635.0,0.000214,97.0,97.4,680.0,5.0
290,624.0,643.0,0.00136,97.9,97.4,680.0,5.0
291,622.0,645.0,0.00164,97.9,97.4,694.0,5.0
292,501.0,519.0,0.00131,97.5,94.8,727.0,5.0
293,491.0,508.0,0.00124,97.5,94.8,714.0,5.0
