,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
1534,570.0,585.0,0.00108,97.7,96.2,10.0,5.4
1535,569.0,587.0,0.0013,97.7,96.2,10.0,5.4
1536,495.0,502.0,0.00051,97.5,94.5,10.0,5.4
1537,554.0,568.0,0.00101,97.7,94.5,10.0,5.4
1538,586.0,596.0,0.000718,97.6,96.5,10.0,5.4
1539,524.0,538.0,0.00101,97.5,94.6,10.0,5.4
1540,414.0,418.0,0.000295,52.0,92.9,10.0,5.4
1541,525.0,535.0,0.000725,97.5,94.7,10.0,5.4
1542,534.0,538.0,0.00029,97.5,94.5,10.0,5.4
1543,479.0,506.0,0.00197,97.5,94.3,10.0,5.4
1544,451.0,452.0,7.33e-05,51.6,93.6,10.0,5.4
1545,515.0,546.0,0.00225,97.5,95.2,10.0,5.4
1546,515.0,546.0,0.00225,97.5,95.2,10.0,5.4
1547,493.0,510.0,0.00124,97.5,94.6,10.0,5.4
1548,517.0,537.0,0.00145,97.5,94.6,10.0,5.4
1549,534.0,538.0,0.00029,97.5,94.5,10.0,5.4
1550,517.0,537.0,0.00145,97.5,94.6,10.0,5.4
1551,584.0,601.0,0.00122,97.6,96.5,10.0,5.4
1552,585.0,602.0,0.00122,97.6,96.5,10.0,5.4
1553,515.0,543.0,0.00203,97.5,95.2,10.0,5.4
1554,570.0,585.0,0.00108,97.7,96.2,10.0,5.4
1555,566.0,576.0,0.00072,36.9,96.1,10.0,5.4
1556,512.0,535.0,0.00167,97.5,95.2,10.0,5.4
1557,522.0,535.0,0.000942,97.5,95.2,10.0,5.4
1558,476.0,490.0,0.00102,51.64,94.2,10.0,5.4
1559,565.0,577.0,0.000864,36.9,94.2,10.0,5.4
1560,635.0,649.0,0.000998,6.01,97.57,10.0,5.4
1561,571.0,589.0,0.00129,97.3,96.2,10.0,5.4
1562,564.0,576.0,0.000865,36.9,94.2,10.0,5.4
1563,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1564,629.0,649.0,0.00143,6.0,97.49,10.0,5.4
1565,493.0,510.0,0.00124,97.5,94.6,10.0,5.4
1566,512.0,533.0,0.00152,97.5,95.2,10.0,5.4
1567,568.0,579.0,0.000792,36.9,96.1,10.0,5.4
1568,571.0,588.0,0.00122,97.3,96.2,10.0,5.4
1570,524.0,535.0,0.000797,97.5,94.7,10.0,5.4
1571,476.0,500.0,0.00175,97.5,95.0,10.0,5.4
1572,496.0,510.0,0.00102,97.45,94.6,10.0,5.4
1573,514.0,547.0,0.00239,97.5,95.2,10.0,5.4
1574,496.0,508.0,0.000873,97.45,94.6,10.0,5.4
1575,451.0,454.0,0.00022,51.6,93.6,10.0,5.4
1576,496.0,511.0,0.00109,97.45,94.6,10.0,5.4
1577,496.0,508.0,0.000873,97.45,94.6,10.0,5.4
1578,524.0,535.0,0.000797,97.5,95.2,10.0,5.4
1579,494.0,534.0,0.00291,82.9,94.9,10.0,5.4
1580,493.0,504.0,0.000801,97.5,94.5,10.0,5.4
1581,451.0,454.0,0.00022,51.6,93.6,10.0,5.4
1582,496.0,510.0,0.00102,97.45,94.6,10.0,5.4
1583,524.0,536.0,0.00087,97.5,95.2,10.0,5.4
1584,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1586,525.0,535.0,0.000725,97.5,94.7,10.0,5.4
1587,516.0,537.0,0.00152,97.5,94.6,10.0,5.4
1588,585.0,601.0,0.00115,97.6,96.5,10.0,5.4
1589,516.0,545.0,0.0021,97.5,95.2,10.0,5.4
1590,522.0,535.0,0.000942,97.5,95.2,10.0,5.4
1591,570.0,585.0,0.00108,97.7,96.2,10.0,5.4
1592,521.0,535.0,0.00101,96.5,95.2,10.0,5.4
1593,553.0,568.0,0.00108,97.7,94.5,10.0,5.4
1594,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1595,521.0,535.0,0.00101,97.5,95.2,10.0,5.4
1596,497.0,506.0,0.000655,97.4,95.2,10.0,5.4
1597,476.0,500.0,0.00175,97.5,95.0,10.0,5.4
1598,534.0,538.0,0.00029,97.5,94.5,10.0,5.4
1599,564.0,576.0,0.000865,36.9,96.1,10.0,5.4
1600,566.0,576.0,0.00072,36.9,96.1,10.0,5.4
1601,634.0,650.0,0.00114,6.01,97.56,10.0,5.4
1602,586.0,596.0,0.000718,97.6,96.5,10.0,5.4
1603,493.0,504.0,0.000801,97.5,94.5,10.0,5.4
1604,525.0,537.0,0.000869,97.5,94.6,10.0,5.4
1605,524.0,535.0,0.000797,97.5,94.7,10.0,5.4
1606,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1607,570.0,585.0,0.00108,97.7,96.2,10.0,5.4
1608,477.0,489.0,0.000876,51.64,94.2,10.0,5.4
1609,451.0,454.0,0.00022,51.6,93.6,10.0,5.4
1610,524.0,535.0,0.000797,97.5,94.7,10.0,5.4
1611,451.0,455.0,0.000293,51.6,93.6,10.0,5.4
1612,490.0,506.0,0.00116,97.5,95.0,10.0,5.4
1613,521.0,535.0,0.00101,97.5,95.2,10.0,5.4
1614,496.0,509.0,0.000946,97.45,94.6,10.0,5.4
1615,521.0,535.0,0.00101,97.5,95.2,10.0,5.4
1616,569.0,584.0,0.00108,97.7,96.2,10.0,5.4
1617,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1618,534.0,538.0,0.00029,97.5,94.5,10.0,5.4
1619,496.0,511.0,0.00109,97.45,94.6,10.0,5.4
1620,553.0,567.0,0.00101,97.7,94.5,10.0,5.4
1621,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1622,498.0,507.0,0.000655,51.6,94.6,10.0,5.4
1623,608.0,612.0,0.000287,97.8,94.5,10.0,5.4
1624,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1625,476.0,490.0,0.00102,51.64,94.2,10.0,5.4
1626,534.0,539.0,0.000362,97.5,94.5,10.0,5.4
1627,524.0,537.0,0.000942,97.5,94.6,10.0,5.4
1628,554.0,568.0,0.00101,97.7,94.5,10.0,5.4
1629,496.0,507.0,0.0008,97.5,94.6,10.0,5.4
1630,492.0,532.0,0.00291,82.9,94.8,10.0,5.4
1631,527.0,536.0,0.000652,97.5,94.5,10.0,5.4
1632,571.0,588.0,0.00122,97.3,96.2,10.0,5.4
1633,568.0,576.0,0.000576,36.9,96.1,10.0,5.4
1634,569.0,584.0,0.00108,97.7,96.2,10.0,5.4
1635,480.0,486.0,0.000438,51.6,94.2,10.0,5.4
1636,571.0,589.0,0.00129,97.3,96.2,10.0,5.4
1637,534.0,539.0,0.000362,97.5,94.5,10.0,5.4
1638,527.0,536.0,0.000652,97.5,94.5,10.0,5.4
1639,493.0,508.0,0.00109,97.5,94.6,10.0,5.4
1640,476.0,500.0,0.00175,97.5,95.0,10.0,5.4
1641,480.0,486.0,0.000438,51.6,94.2,10.0,5.4
1642,568.0,576.0,0.000576,36.9,96.1,10.0,5.4
1643,513.0,547.0,0.00246,97.5,95.2,10.0,5.4
1644,498.0,507.0,0.000655,51.6,94.6,10.0,5.4
1645,498.0,507.0,0.000655,51.6,94.6,10.0,5.4
1646,496.0,511.0,0.00109,97.45,94.6,10.0,5.4
1647,515.0,544.0,0.0021,97.5,95.2,10.0,5.4
1648,450.0,452.0,0.000147,51.6,93.6,10.0,5.4
1649,480.0,486.0,0.000438,51.6,94.2,10.0,5.4
1650,587.0,597.0,0.000718,97.6,96.5,10.0,5.4
1651,569.0,584.0,0.00108,97.7,96.2,10.0,5.4
1652,495.0,595.0,0.00723,85.0,94.7,10.0,5.4
1653,301.0,846.0,0.0392,28.5,96.1,6.0,5.4
1654,494.0,506.0,0.000873,97.5,94.6,100.0,5.4
1655,520.0,541.0,0.00152,97.47,95.24,11.0,5.4
1656,521.0,536.0,0.00109,97.5,95.2,16.0,5.4
1657,521.0,536.0,0.00109,97.5,95.2,16.0,5.4
1658,779.0,808.0,0.00202,98.47,100.73,100.0,5.4
1659,516.0,539.0,0.00167,97.5,95.2,3.0,5.4
1660,473.0,503.0,0.00219,97.4,94.5,10.0,5.4
1665,488.0,509.0,0.00153,97.4,94.5,2.0,5.4
1666,488.0,509.0,0.00153,97.4,94.5,2.0,5.4
1667,481.0,500.0,0.00138,97.5,94.4,50.0,5.4
1668,900.0,911.0,0.000756,67.2,103.1,5000.0,5.4
1669,908.0,916.0,0.000549,67.1,101.0,5000.0,5.4
1670,244.0,900.0,0.0472,67.1,96.1,5000.0,5.4
1671,901.0,909.0,0.00055,67.1,103.09,5000.0,5.4
1672,896.0,908.0,0.000825,67.1,103.09,5000.0,5.4
1673,901.0,910.0,0.000619,67.15,103.11,5000.0,5.4
1674,640.0,663.0,0.00164,98.04,97.77,55.0,5.4
1676,35778.0,35793.0,0.000178,4.85,1436.8,950.0,5.4
1677,35772.0,35801.0,0.000344,0.22,1436.09,1282.0,5.4
1678,35776.0,35795.0,0.000225,0.04,1436.06,1930.0,5.4
1679,35767.0,35802.0,0.000415,4.76,1435.99,1148.0,10.0
1681,515.0,545.0,0.00217,97.5,95.2,1.0,5.4
1682,591.0,601.0,0.000718,97.8,95.4,3200.0,5.4
1683,596.0,600.0,0.000287,97.8,95.4,3200.0,5.4
1684,480.0,513.0,0.0024,97.3,94.5,2.0,5.4
1685,634.0,647.0,0.000927,98.0,97.5,5.0,5.4
1686,485.0,498.0,0.000947,97.5,95.1,245.0,5.4
1687,522.0,537.0,0.00109,97.5,95.1,80.0,5.4
1688,523.0,537.0,0.00101,97.5,95.1,80.0,5.4
1689,476.0,486.0,0.00073,51.7,715.0,8.0,5.4
1690,497.0,509.0,0.000873,97.4,95.1,80.0,5.4
1691,512.0,536.0,0.00174,97.5,95.1,30.0,5.4
1692,442.0,724.0,0.0203,101.7,97.45,2.0,5.4
1693,501.0,515.0,0.00102,97.5,94.7,85.0,5.4
1694,522.0,536.0,0.00101,97.5,94.5,23.0,5.4
1695,522.0,536.0,0.00101,97.5,94.5,23.0,5.4
1696,984.0,1014.0,0.00204,99.2,105.1,47.0,3.0
1697,496.0,516.0,0.00145,97.45,94.7,16.0,5.4
1698,522.0,535.0,0.000942,97.5,94.7,1.0,5.4
1699,524.0,535.0,0.000797,97.5,94.7,1.0,5.4
1700,523.0,525.0,0.000145,97.5,94.7,1.0,5.4
1701,35728.0,35788.0,0.000712,0.04,1434.6,2417.0,15.0
1702,35772.0,35802.0,0.000356,0.05,1436.11,5800.0,15.0
1703,35785.0,35787.0,2.37e-05,0.05,1436.11,5648.0,5.4
1704,853.0,868.0,0.00104,20.0,102.2,1000.0,5.0
1705,525.0,538.0,0.000942,97.5,94.7,10.0,5.4
1706,35789.0,35797.0,9.49e-05,0.0,1436.1,5800.0,16.0
1707,35598.0,35976.0,0.00448,5.1,1436.13,8000.0,5.4
1708,33674.0,37900.0,0.0501,7.33,1436.12,8000.0,5.4
1709,35500.0,35500.0,0.0,7.0,1436.0,3900.0,5.4
1710,1034.0,39319.0,0.721,62.75,717.6,2000.0,7.0
1711,2253.0,38105.0,0.675,62.85,645.98,2500.0,5.4
1712,1722.0,38637.0,0.695,64.47,717.88,2500.0,5.4
1713,1494.0,38860.0,0.704,63.77,718.04,2500.0,7.0
1714,962.0,39398.0,0.724,62.82,717.88,2500.0,7.0
1715,986.0,39735.0,0.725,62.8,725.21,2500.0,7.0
1716,1036.0,39308.0,0.721,62.84,717.56,2500.0,7.0
1717,499.0,517.0,0.00131,97.5,94.8,5.0,5.4
1718,812.0,815.0,0.000209,98.5,101.1,2900.0,5.0
1719,819.0,828.0,0.000626,98.81,101.3,2778.0,5.0
1720,35784.0,35791.0,8.3e-05,1.8,1436.15,2000.0,7.0
1721,35791.0,35795.0,4.74e-05,3.1,1436.1,2000.0,12.0
1722,35781.0,35793.0,0.000142,0.46,1436.1,2000.0,12.0
1723,35775.0,35795.0,0.000237,0.29,1436.0,2000.0,12.0
1724,819.0,822.0,0.000209,98.7,101.3,4085.0,5.0
1725,825.0,829.0,0.000278,98.7,101.2,4084.0,5.0
1726,36000.0,36000.0,0.0,1.5,1450.1,2875.0,5.4
1727,35783.0,35789.0,7.12e-05,1.5,1450.1,2875.0,5.4
1728,35784.0,35791.0,8.3e-05,0.07,1436.16,2900.0,15.0
1729,35767.0,35805.0,0.000451,7.12,1436.06,5325.0,15.0
1730,544.0,567.0,0.00166,97.7,95.8,5.0,3.0
1731,490.0,511.0,0.00153,97.3,94.6,51.0,5.4
1732,493.0,505.0,0.000873,97.5,94.5,4.0,5.4
1733,469.0,487.0,0.00131,97.27,94.1,645.0,3.0
1734,35754.0,35819.0,0.000771,5.99,1436.13,4536.0,10.0
1735,35764.0,35768.0,4.75e-05,4.5,1435.04,4536.0,12.0
1736,35753.0,35820.0,0.000795,3.45,1436.12,4536.0,12.0
1737,35768.0,35806.0,0.000451,0.82,1436.13,4536.0,12.0
1738,407.0,419.0,0.000885,97.08,1436.0,500.0,5.4
1739,406.0,419.0,0.000958,97.08,1436.0,500.0,5.4
1740,1375.0,70009.0,0.816,28.9,1433.0,1360.0,3.0
1741,1357.0,70117.0,0.816,29.0,1433.0,1360.0,3.0
1742,1429.0,70045.0,0.815,29.0,1433.0,1360.0,3.0
1743,1317.0,70157.0,0.817,29.0,1433.0,1360.0,3.0
1744,636.0,638.0,0.000143,97.9,97.4,1110.0,5.4
1745,601.0,606.0,0.000359,98.0,97.0,1110.0,5.4
1747,817.0,832.0,0.00104,98.7,101.4,53.0,1.0
1748,572.0,590.0,0.00129,97.7,96.3,2.0,5.4
1749,669.0,690.0,0.00149,97.8,98.3,64.0,5.4
1750,434.0,514.0,0.00584,97.5,94.0,7.0,5.4
1751,35776.0,35796.0,0.000237,4.02,1436.09,2850.0,10.0
1752,35569.0,36006.0,0.00518,3.73,1436.1,6804.0,12.0
1753,35550.0,36023.0,0.00561,4.11,1436.1,6804.0,12.0
1754,35576.0,35998.0,0.00501,4.57,1436.1,6804.0,5.4
1755,35576.0,35997.0,0.00499,4.8,1436.1,6804.0,5.4
1756,35576.0,35998.0,0.00501,4.5,1436.1,6804.0,5.4
1757,524.0,535.0,0.000797,97.5,94.3,1.0,1.0
1758,486.0,602.0,0.00839,97.6,96.6,6.0,5.4
1759,654.0,659.0,0.000356,98.4,97.9,20.0,5.4
1760,583.0,672.0,0.00636,98.1,97.3,20.0,5.4
1761,534.0,557.0,0.00166,97.6,94.5,3.0,5.4
1762,493.0,510.0,0.00124,97.3,94.5,10.0,5.4
1763,531.0,535.0,0.00029,97.5,94.5,10.0,5.4
1764,519.0,540.0,0.00152,97.5,94.5,10.0,5.4
1765,468.0,483.0,0.0011,51.6,92.6,1.0,1.0
1766,20188.0,20224.0,0.000677,55.0,718.94,1630.0,12.0
1767,20446.0,20459.0,0.000242,54.9,728.96,1630.0,12.0
1768,20426.0,20486.0,0.00112,55.0,97.7,1630.0,12.0
1769,20175.0,20188.0,0.000245,55.0,717.9,1630.0,12.0
1770,20174.0,20191.0,0.00032,54.95,718.0,1630.0,10.0
1771,20184.0,20247.0,0.00118,55.09,719.32,1630.0,10.0
1772,20457.0,20469.0,0.000224,54.98,729.39,1630.0,10.0
1773,20174.0,20188.0,0.000264,55.05,717.92,1630.0,10.0
1774,20471.0,20476.0,9.31e-05,54.92,729.0,1630.0,10.0
1775,20155.0,20211.0,0.00105,54.97,718.02,1630.0,10.0
1776,20445.0,20469.0,0.000447,55.0,729.14,1630.0,12.0
1777,20451.0,20464.0,0.000242,55.03,729.18,1630.0,12.0
1778,20171.0,20189.0,0.000339,54.9,717.88,2300.0,15.0
1779,20188.0,20203.0,0.000282,55.1,718.01,2300.0,15.0
1780,20165.0,20199.0,0.00064,55.06,717.9,2300.0,15.0
1781,20178.0,20186.0,0.000151,55.0,717.9,2300.0,15.0
1782,20168.0,20198.0,0.000565,55.0,717.9,2300.0,15.0
1783,20177.0,20203.0,0.000489,55.1,718.0,4352.0,15.0
1784,20123.0,20247.0,0.00233,54.9,718.09,2217.0,10.0
1785,20096.0,20268.0,0.00324,53.0,717.97,2217.0,10.0
1786,20133.0,20234.0,0.0019,54.9,718.03,2217.0,10.0
1787,20184.0,20427.0,0.00455,55.0,722.98,2217.0,10.0
1788,20177.0,20498.0,0.00601,55.0,724.28,2217.0,10.0
1789,20104.0,20266.0,0.00305,55.0,718.09,2217.0,10.0
1790,20155.0,20344.0,0.00355,55.0,720.71,2217.0,10.0
1791,20063.0,20433.0,0.00695,54.9,720.65,2217.0,10.0
1792,20020.0,20342.0,0.00606,54.94,717.93,2060.0,10.0
1793,20206.0,20366.0,0.003,55.02,722.19,2060.0,10.0
1794,20149.0,20213.0,0.00121,54.8,717.93,2217.0,10.0
1795,20150.0,20311.0,0.00303,54.96,719.92,2060.0,10.0
1796,20135.0,20152.0,0.000321,55.1,716.4,2217.0,10.0
1797,20160.0,20209.0,0.000923,55.12,718.07,2059.0,10.0
1798,20142.0,20221.0,0.00149,55.08,717.95,2217.0,10.0
1799,19938.0,20426.0,0.00919,54.8,718.0,2217.0,10.0
1800,20089.0,20276.0,0.00352,55.0,717.98,2217.0,10.0
1801,519.0,540.0,0.00152,97.45,95.22,20.0,5.4
1802,1992.0,1999.0,0.000418,67.09,750.0,2000.0,5.4
1803,516.0,523.0,0.000508,97.5,94.5,65.0,5.4
1804,494.0,509.0,0.00109,97.4,95.2,40.0,5.4
1805,772.0,786.0,0.000979,98.6,100.4,74.0,5.4
1806,519.0,533.0,0.00102,97.5,95.1,4.0,5.4
1808,544.0,567.0,0.00166,97.8,95.6,4.0,5.4
1809,544.0,567.0,0.00166,97.8,95.6,4.0,5.4
1810,544.0,568.0,0.00173,97.8,95.6,4.0,5.4
1811,544.0,568.0,0.00173,97.8,95.6,4.0,5.4
1812,572.0,588.0,0.00115,97.7,96.3,100.0,5.4
1813,480.0,512.0,0.00233,97.3,94.5,4.0,5.4
1814,35793.0,35795.0,2.37e-05,0.2,1436.1,5150.0,15.0
1815,691.0,705.0,0.00099,98.2,98.7,300.0,7.0
1816,661.0,696.0,0.00248,98.2,98.3,100.0,5.4
1817,35795.0,35813.0,0.000213,0.05,1436.23,3200.0,15.0
1818,35772.0,35800.0,0.000332,0.02,98.3,3500.0,15.0
1819,35779.0,35794.0,0.000178,0.01,1436.1,4850.0,15.0
1820,35700.0,35700.0,0.0,0.01,1436.1,4745.0,15.0
1821,35764.0,35809.0,0.000534,0.04,1436.09,4745.0,15.0
1822,887.0,898.0,0.000757,45.0,102.8,100.0,5.4
1823,886.0,897.0,0.000757,45.0,102.8,100.0,5.4
1824,886.0,897.0,0.000757,45.0,102.8,100.0,5.4
1825,884.0,898.0,0.000964,45.0,102.8,100.0,5.4
1826,884.0,897.0,0.000895,45.0,102.8,100.0,5.4
1827,857.0,866.0,0.000622,45.0,102.8,100.0,5.4
1828,856.0,866.0,0.000691,45.0,102.8,100.0,5.4
1829,855.0,866.0,0.000761,45.0,102.8,100.0,5.4
1830,854.0,866.0,0.00083,45.0,102.8,100.0,5.4
1831,853.0,866.0,0.000899,45.0,102.8,100.0,5.4
1832,496.0,517.0,0.00153,97.4,94.5,15.0,2.0
1833,35777.0,35798.0,0.000249,0.03,1436.1,4100.0,15.0
1834,800.0,816.0,0.00111,98.7,101.0,2223.0,3.0
1835,843.0,864.0,0.00145,99.1,102.0,2223.0,3.0
1836,845.0,864.0,0.00131,98.9,102.0,1420.0,3.0
1837,817.0,819.0,0.000139,98.7,101.2,2294.0,7.0
1838,495.0,512.0,0.00124,58.3,96.15,15.0,5.4
1839,546.0,568.0,0.00159,97.7,95.8,9.0,5.4
1840,586.0,605.0,0.00136,97.6,96.5,30.0,5.4
1841,586.0,605.0,0.00136,97.6,96.5,16.0,5.4
1842,609.0,613.0,0.000286,97.8,96.0,15.0,5.4
1843,494.0,507.0,0.000946,97.4,95.4,35.0,5.4
1844,586.0,600.0,0.00101,97.8,96.0,430.0,7.0
1845,827.0,827.0,0.0,98.7,101.4,2128.0,5.4
1846,710.0,720.0,0.000706,24.0,99.0,85.0,5.4
1856,628.0,643.0,0.00107,70.2,96.4,100.0,5.4
1858,1007.0,1207.0,0.0134,63.4,94.0,1000.0,5.4
1859,491.0,524.0,0.0024,97.89,95.2,20000.0,5.4
1860,515.0,543.0,0.00203,97.5,95.2,8.0,5.4
1861,518.0,537.0,0.00138,97.5,95.2,10.0,5.4
1862,35778.0,35795.0,0.000202,0.02,1436.1,5396.0,16.0
1863,35776.0,35798.0,0.000261,0.07,1436.15,3582.0,15.0
1865,35776.0,35797.0,0.000249,0.02,1436.12,4575.0,5.4
1866,35775.0,35798.0,0.000273,0.08,1436.12,4500.0,14.0
1867,35784.0,35792.0,9.49e-05,0.02,1436.17,2238.0,15.0
1868,467.0,477.0,0.000731,97.3,94.0,45.0,5.4
1869,467.0,478.0,0.000804,97.3,94.0,45.0,5.4
1870,467.0,477.0,0.000731,97.3,94.0,45.0,5.4
1871,465.0,475.0,0.000731,97.3,94.0,45.0,5.4
1872,468.0,478.0,0.000731,97.3,94.0,45.0,5.4
1873,467.0,476.0,0.000658,97.3,94.0,45.0,5.4
1874,465.0,473.0,0.000585,97.3,94.0,45.0,5.4
1875,465.0,474.0,0.000658,97.3,94.0,45.0,5.4
1876,465.0,473.0,0.000585,97.3,94.0,45.0,5.4
1877,524.0,536.0,0.00087,97.4,95.1,37.0,5.4
1878,523.0,536.0,0.000942,97.5,95.1,37.0,5.4
1879,523.0,536.0,0.000942,97.5,95.1,37.0,5.4
1880,523.0,536.0,0.000942,97.5,95.1,37.0,5.4
1881,498.0,509.0,0.0008,97.4,95.1,42.0,5.4
1882,497.0,510.0,0.000946,97.4,95.1,42.0,5.4
1883,494.0,509.0,0.00109,97.4,95.1,42.0,5.4
1884,494.0,509.0,0.00109,97.4,95.1,42.0,5.4
1885,493.0,509.0,0.00116,97.4,95.1,42.0,5.4
1886,525.0,536.0,0.000797,97.5,94.1,42.0,5.4
1887,519.0,535.0,0.00116,97.5,94.1,42.0,5.4
1888,535.0,545.0,0.000724,43.02,95.44,35.0,5.4
1889,523.0,535.0,0.00087,97.5,94.1,42.0,5.4
1890,523.0,535.0,0.00087,97.5,94.1,42.0,5.4
1891,521.0,537.0,0.00116,97.5,95.1,42.0,3.0
1892,521.0,537.0,0.00116,97.5,95.1,42.0,3.0
1893,521.0,537.0,0.00116,97.5,95.1,42.0,3.0
1894,521.0,537.0,0.00116,97.5,95.1,42.0,3.0
1895,489.0,499.0,0.000728,97.4,94.4,42.0,5.4
1896,491.0,507.0,0.00116,97.4,94.4,42.0,5.4
1897,491.0,504.0,0.000946,97.4,94.4,42.0,5.4
1898,491.0,504.0,0.000946,97.4,94.4,42.0,5.4
1899,493.0,503.0,0.000728,97.2,94.5,35.0,5.4
1900,487.0,507.0,0.00146,97.2,94.5,35.0,5.4
1901,516.0,524.0,0.000581,97.5,94.5,35.0,5.4
1902,476.0,490.0,0.00102,97.3,94.2,45.0,5.4
1903,475.0,492.0,0.00124,97.3,94.2,45.0,5.4
1904,467.0,479.0,0.000877,97.3,94.0,45.0,5.4
1905,613.0,632.0,0.00136,6.0,97.2,360.0,2.0
1906,624.0,654.0,0.00214,71.97,97.48,6.0,0.5
1907,8063.0,8069.0,0.000208,0.03,287.93,700.0,5.4
1908,8060.0,8071.0,0.000381,0.09,287.92,650.0,5.4
1909,8062.0,8069.0,0.000242,0.04,287.93,700.0,5.4
1910,8064.0,8068.0,0.000139,0.03,287.94,700.0,5.4
1911,7831.0,7845.0,0.000493,0.12,281.15,650.0,5.4
1912,7827.0,7844.0,0.000598,0.12,281.08,650.0,5.4
1913,7815.0,7842.0,0.000951,0.12,280.87,650.0,5.4
1914,8063.0,8068.0,0.000173,0.04,287.93,650.0,5.4
1915,8063.0,8069.0,0.000208,0.04,287.93,650.0,5.4
1916,8063.0,8069.0,0.000208,0.04,287.93,650.0,5.4
1917,8063.0,8069.0,0.000208,0.04,287.93,650.0,5.4
1918,8062.0,8069.0,0.000242,0.05,287.92,650.0,5.4
1919,8062.0,8069.0,0.000242,0.05,287.92,650.0,5.4
1920,8062.0,8069.0,0.000242,0.05,287.92,650.0,5.4
1921,8062.0,8069.0,0.000242,0.05,287.92,650.0,5.4
1922,7838.0,7840.0,7.04e-05,0.04,281.17,700.0,5.4
1923,7829.0,7839.0,0.000352,0.04,281.02,700.0,5.4
1924,7818.0,7839.0,0.00074,0.04,280.86,700.0,5.4
1925,7809.0,7839.0,0.00106,0.04,280.73,700.0,5.4
1926,8063.0,8069.0,0.000208,0.03,287.93,700.0,5.4
1927,701.0,704.0,0.000212,98.2,98.83,454.0,2.0
1928,306.0,853.0,0.0394,28.5,96.2,70.0,5.4
1929,569.0,573.0,0.000288,97.6,96.1,250.0,2.0
1931,385.0,601.0,0.0157,140.94,94.47,300.0,5.0
1932,386.0,608.0,0.0162,142.0,94.4,300.0,5.0
1933,300.0,300.0,0.0,139.2,94.5,300.0,5.4
1934,352.0,603.0,0.0183,141.12,93.9,300.0,5.4
1935,367.0,764.0,0.0286,143.4,95.97,300.0,4.0
1936,340.0,576.0,0.0173,141.76,93.75,300.0,5.0
1937,343.0,589.0,0.018,141.78,93.91,300.0,5.0
1938,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1939,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1940,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1941,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1942,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1943,1175.0,1180.0,0.000331,87.8,105.2,148.0,5.0
1944,1200.0,1202.0,0.000132,87.4,93.5,148.0,5.0
1945,1200.0,1202.0,0.000132,87.4,93.8,148.0,5.0
1946,1215.0,1220.0,0.000329,87.4,94.0,148.0,5.0
1947,1215.0,1220.0,0.000329,87.4,95.9,148.0,5.0
1948,1215.0,1220.0,0.000329,87.4,93.6,148.0,5.0
1949,1215.0,1220.0,0.000329,87.4,93.5,148.0,5.0
1950,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1951,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1952,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1953,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1954,1215.0,1220.0,0.000329,87.4,93.6,148.0,5.0
1955,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1956,1215.0,1220.0,0.000329,87.4,93.6,148.0,5.0
1957,1215.0,1220.0,0.000329,87.4,94.6,148.0,5.0
1958,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1959,1215.0,1220.0,0.000329,87.4,93.6,148.0,5.0
1960,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1961,1215.0,1220.0,0.000329,87.4,94.9,148.0,5.0
1962,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1963,1215.0,1220.0,0.000329,87.4,93.6,148.0,5.0
1964,1215.0,1220.0,0.000329,87.4,94.2,148.0,5.0
1965,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1966,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1967,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1968,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1969,1215.0,1220.0,0.000329,87.4,94.4,148.0,5.0
1970,1215.0,1220.0,0.000329,87.4,93.9,148.0,5.0
1971,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1972,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1973,1215.0,1220.0,0.000329,87.4,94.7,148.0,5.0
1974,1215.0,1220.0,0.000329,87.4,93.7,148.0,5.0
1975,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
1976,1215.0,1220.0,0.000329,87.4,93.8,148.0,5.0
