,LABEL,Latitude,Longitude ,Type,Total Mass (kg),NOx from re-entry (kg)
113,N,18.125,-21.147,Debris,1000.0,1000.0
114,N,-57.037,54.084,Payload,1750.0,1750.0
115,N,28.583,-80.583,Rocket body,20740.0,20740.0
116,N,40.961,100.298,Rocket body,1000.0,1000.0
117,N,28.246,102.027,Rocket body,29400.0,14700.0
118,N,-39.251,177.867,Rocket body,950.0,950.0
119,N,45.996,63.564,Rocket body,6550.0,6550.0
120,N,28.531,-80.565,Rocket body,28000.0,28000.0
121,N,-19.923,134.828,Rocket body,2400.0,2400.0
122,N,-59.409,59.231,Rocket body,1050.0,1050.0
123,N,62.887,40.847,Rocket body,7185.0,7185.0
124,N,40.972,100.364,Rocket body,4500.0,4500.0
125,N,-16.09,116.854,Rocket body,155.0,155.0
126,N,38.863,111.589,Rocket body,13500.0,13500.0
127,N,40.961,100.298,Rocket body,7270.0,7270.0
128,N,28.246,102.027,Rocket body,29400.0,14700.0
129,N,30.401,130.975,Rocket body,68200.0,68200.0
130,N,40.961,100.298,Rocket body,9500.0,9500.0
131,N,45.92,63.342,Rocket body,6550.0,6550.0
132,N,62.929,40.457,Rocket body,6550.0,6550.0
133,N,43.915,16.357,Rocket body,2400.0,2400.0
134,Y,47.401,69.571,Payload,7080.0,1239.0
135,N,38.863,111.589,Rocket body,13500.0,13500.0
136,N,-45.482,-135.601,Rocket body,2740.0,2740.0
137,N,46.04,63.032,Rocket body,41600.0,41600.0
138,N,28.406,-80.605,Rocket body,1790.0,1790.0
139,N,-8.264,-171.109,Rocket body,1050.0,1050.0
140,N,-17.506,64.086,Rocket body,920.0,920.0
141,N,-39.251,177.867,Rocket body,950.0,950.0
142,N,28.247,102.029,Rocket body,29400.0,14700.0
143,N,-29.102,-90.25,Rocket body,2740.0,2740.0
144,N,-17.17,-36.812,Rocket body,2740.0,2740.0
145,N,37.833,-75.488,Rocket body,20600.0,20600.0
146,N,38.863,111.589,Rocket body,13500.0,13500.0
147,N,28.246,102.027,Rocket body,29400.0,14700.0
148,Y,28.41,-80.61,Rocket body,27200.0,4760.0
149,N,40.972,100.364,Rocket body,4500.0,4500.0
150,N,38.868,111.58,Rocket body,9020.0,9020.0
151,N,40.972,100.364,Rocket body,4500.0,4500.0
152,N,44.395,29.161,Debris,2740.0,2740.0
153,N,-54.063,100.958,Debris,920.0,920.0
154,N,-78.416,89.119,Rocket body,1500.0,1500.0
155,N,14.044,142.406,Rocket body,2243.0,2243.0
156,N,-60.35,-63.527,Payload,1415.0,1415.0
157,N,28.247,102.029,Rocket body,29400.0,14700.0
158,N,62.929,40.457,Rocket body,4900.0,4900.0
159,N,5.239,-52.769,Rocket body,90000.0,90000.0
160,N,13.72,80.23,Rocket body,35400.0,35400.0
161,N,-5.079,-62.841,Rocket body,2740.0,2740.0
162,N,38.863,111.589,Rocket body,13500.0,13500.0
163,N,16.958,-56.667,Rocket body,2500.0,2500.0
164,N,-56.926,48.985,Rocket body,2740.0,2740.0
165,Y,28.41,-80.61,Rocket body,27200.0,4760.0
166,N,-39.251,177.867,Rocket body,950.0,950.0
167,N,45.996,63.564,Rocket body,6550.0,6550.0
168,N,38.849,111.608,Rocket body,4500.0,4500.0
169,N,38.868,111.58,Rocket body,4500.0,4500.0
170,N,-61.387,-97.49,Rocket body,1050.0,1050.0
171,N,62.927,40.45,Rocket body,6550.0,6550.0
172,N,13.72,80.23,Rocket body,35400.0,35400.0
173,N,28.247,102.029,Rocket body,29400.0,14700.0
174,Y,28.41,-80.61,Rocket body,27200.0,4760.0
175,N,-53.894,98.02,Rocket body,250.0,250.0
176,N,5.301,-52.837,Rocket body,6550.0,6550.0
177,N,38.863,111.589,Rocket body,13500.0,13500.0
178,N,28.583,-80.583,Rocket body,20740.0,20740.0
179,Y,32.943,-106.42,Payload,13000.0,2275.0
180,N,46.071,62.985,Rocket body,41600.0,41600.0
181,N,62.887,40.847,Rocket body,7185.0,7185.0
182,N,19.614,110.951,Rocket body,67000.0,67000.0
183,N,14.175,-60.801,Payload,689.0,689.0
184,N,24.96,50.842,Payload,4348.0,4348.0
