,Latitude,Longitude ,Total Mass (kg),NOx from re-entry (kg)
156,-60.35,-63.527,1415.0,1415.0
157,28.247,102.029,29400.0,14700.0
158,62.929,40.457,4900.0,4900.0
159,5.239,-52.769,90000.0,90000.0
160,13.72,80.23,35400.0,35400.0
161,-5.079,-62.841,2740.0,2740.0
162,38.863,111.589,13500.0,13500.0
163,16.958,-56.667,2500.0,2500.0
164,-56.926,48.985,2740.0,2740.0
165,28.41,-80.61,27200.0,4760.0
166,-39.251,177.867,950.0,950.0
167,45.996,63.564,6550.0,6550.0
168,38.849,111.608,4500.0,4500.0
169,38.868,111.58,4500.0,4500.0
170,-61.387,-97.49,1050.0,1050.0
171,62.927,40.45,6550.0,6550.0
172,13.72,80.23,35400.0,35400.0
173,28.247,102.029,29400.0,14700.0
174,28.41,-80.61,27200.0,4760.0
175,-53.894,98.02,250.0,250.0
176,5.301,-52.837,6550.0,6550.0
177,38.863,111.589,13500.0,13500.0
178,28.583,-80.583,20740.0,20740.0
179,32.943,-106.42,13000.0,2275.0
180,46.071,62.985,41600.0,41600.0
181,62.887,40.847,7185.0,7185.0
182,19.614,110.951,67000.0,67000.0
183,14.175,-60.801,689.0,689.0
184,24.96,50.842,4348.0,4348.0
