,price_per_kg,max_mass,Max Cost
22,0.040249433106575964,0.0721599296460316,0.057186623725109645
25,0.040249433106575964,0.0721599296460316,0.057186623725109645
28,0.040249433106575964,0.0721599296460316,0.057186623725109645
31,0.040249433106575964,0.0721599296460316,0.057186623725109645
41,0.040249433106575964,0.0721599296460316,0.057186623725109645
52,0.040249433106575964,0.0721599296460316,0.057186623725109645
55,0.040249433106575964,0.0721599296460316,0.057186623725109645
74,0.040249433106575964,0.0721599296460316,0.057186623725109645
78,0.040249433106575964,0.0721599296460316,0.057186623725109645
80,0.040249433106575964,0.0721599296460316,0.057186623725109645
86,0.040249433106575964,0.0721599296460316,0.057186623725109645
95,0.040249433106575964,0.0721599296460316,0.057186623725109645
102,0.08049886621315193,0.056188950657998046,0.08363341110705307
105,0.08049886621315193,0.056188950657998046,0.08363341110705307
118,0.040249433106575964,0.0721599296460316,0.057186623725109645
119,0.663265306122449,0.0,0.017782815126938183
125,0.040249433106575964,0.0721599296460316,0.057186623725109645
128,0.08049886621315193,0.056188950657998046,0.08363341110705307
129,0.08049886621315193,0.056188950657998046,0.08363341110705307
130,0.663265306122449,0.0,0.017782815126938183
138,0.040249433106575964,0.0721599296460316,0.057186623725109645
139,0.040249433106575964,0.0721599296460316,0.057186623725109645
147,0.040249433106575964,0.0721599296460316,0.057186623725109645
161,0.663265306122449,0.0,0.017782815126938183
176,0.040249433106575964,0.0721599296460316,0.057186623725109645
179,0.663265306122449,0.0,0.017782815126938183
205,0.07596371882086168,0.021640126888407298,0.0296948714620755
219,0.040249433106575964,0.0721599296460316,0.057186623725109645
226,0.07596371882086168,0.021640126888407298,0.0296948714620755
250,0.07596371882086168,0.021640126888407298,0.0296948714620755
251,0.07596371882086168,0.021640126888407298,0.0296948714620755
261,0.07596371882086168,0.021640126888407298,0.0296948714620755
262,0.040249433106575964,0.0721599296460316,0.057186623725109645
263,0.663265306122449,0.0,0.017782815126938183
274,0.663265306122449,0.0,0.017782815126938183
277,0.07596371882086168,0.021640126888407298,0.0296948714620755
281,0.040249433106575964,0.0721599296460316,0.057186623725109645
297,0.07596371882086168,0.021640126888407298,0.0296948714620755
308,0.040249433106575964,0.0721599296460316,0.057186623725109645
314,0.040249433106575964,0.0721599296460316,0.057186623725109645
315,0.040249433106575964,0.0721599296460316,0.057186623725109645
316,0.07596371882086168,0.021640126888407298,0.0296948714620755
317,0.663265306122449,0.0,0.017782815126938183
318,0.08049886621315193,0.056188950657998046,0.08363341110705307
319,0.08049886621315193,0.056188950657998046,0.08363341110705307
324,0.08049886621315193,0.056188950657998046,0.08363341110705307
325,0.08049886621315193,0.056188950657998046,0.08363341110705307
329,0.08049886621315193,0.056188950657998046,0.08363341110705307
336,0.040249433106575964,0.0721599296460316,0.057186623725109645
347,0.040249433106575964,0.0721599296460316,0.057186623725109645
350,0.07596371882086168,0.021640126888407298,0.0296948714620755
351,0.08049886621315193,0.056188950657998046,0.08363341110705307
352,0.07596371882086168,0.021640126888407298,0.0296948714620755
356,0.08049886621315193,0.056188950657998046,0.08363341110705307
357,0.08049886621315193,0.056188950657998046,0.08363341110705307
358,0.08049886621315193,0.056188950657998046,0.08363341110705307
383,0.663265306122449,0.0,0.017782815126938183
388,0.663265306122449,0.0,0.017782815126938183
389,0.040249433106575964,0.0721599296460316,0.057186623725109645
