#Launch_Tag,Launch_Date,Piece,Type,Name,PLName,JCAT,LV_Type,Flight_ID,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Agency,Launch_Code,LTCite,price_per_kg,max_mass
1957 ALP,1957 Oct  4 1928:34,1957 ALP 2,P,1-y ISZ,PS-1,S00002,Sputnik 8K71PS,M1-PS,-,NIIP-5,LC1,-,-,MVS,OS,Energiya,NA,NA
1957 BET,1957 Nov  3 0230:42,1957 BET 1,P A,2-y ISZ,PS-2,S00003,Sputnik 8K71PS,M1-2PS,-,NIIP-5,LC1,-,-,MVS,OS,Grahn-WWW,NA,NA
1957-F01,1957 Dec  6 1644:35,1957-F01,P   F,Vanguard,Vanguard Test Satellite F,F00002,Vanguard,TV-3,-,CC,LC18A,-,-,NRL,OF,Vang-ER9948,948600,9
1958 ALP,1958 Feb  1 0347:56,1958 ALP,P A,Explorer I,Explorer 1,S00004,Jupiter C,RS-29    UE,-,CC,LC26A,-,-,ABMA,OS,JunoFam,NA,NA
1958-F01,1958 Feb  5 0733,1958-F01,P   F,Vanguard,Vanguard Test Satellite G,F00004,Vanguard,TV-3BU,-,CC,LC18A,-,-,NRL,OF,Vang-ER9955,948600,9
1958-F02,1958 Mar  5 1827:57,1958-F02,P   F,Explorer II,Explorer 2,F00006,Jupiter C,RS/CC-26 UV,-,CC,LC26A,-,-,ABMA,OF,JunoFam,NA,NA
1958 BET,1958 Mar 17 1215:41,1958 BET 2,P,Vanguard I,Vanguard Test Satellite H,S00005,Vanguard,TV-4,-,CC,LC18A,-,-,NRL,OS,SP-4202,948600,9
1958 GAM,1958 Mar 26 1738:03,1958 GAM,P A,Explorer III,Explorer 3,S00006,Jupiter C,RS-24    UT,-,CC,LC5,-,-,ABMA,OS,JunoFam,NA,NA
1958-F03,1958 Apr 27 0901,1958-F03,P   F,ISZ,D No. 1,F00008,Sputnik 8A91,B1-2,-,NIIP-5,LC1,-,-,MVS,OF,NezavB,NA,NA
1958-F04,1958 Apr 29 0253:00,1958-F04,P   F,Vanguard,X-ray satellite,F00011,Vanguard,TV-5,-,CC,LC18A,-,-,NRL,OF,Vang-ER10300,948600,9
1958 DEL,1958 May 15 0700:35,1958 DEL 2,P,3-y Sovetskiy ISZ,D No. 2,S00008,Sputnik 8A91,B1-1,-,NIIP-5,LC1,-,-,MVS,OS,NezavB,NA,NA
1958-F05,1958 May 28 0346:20,1958-F05,P   F,Vanguard,Lyman Alpha satellite,F00013,Vanguard,SLV-1,-,CC,LC18A,-,-,NRL,OF,Vang-ER10301,948600,9
1958-F06,1958 Jun 26 0500:52,1958-F06,P   F,Vanguard,X-ray satellite,F00015,Vanguard,SLV-2,-,CC,LC18A,-,-,NRL,OF,Vang-ER10302,948600,9
1958-F07,1958 Jul 25,1958-F07,P   F,NOTS 1,Diagnostic Payload 1,F00018,NOTS EV1,1,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958 EPS,1958 Jul 26 1500:57,1958 EPS,P A,Explorer IV,Explorer 4,S00009,Jupiter C,RS/CC-44 TT,-,CC,LC5,-,-,ABMA,OS,JunoFam,NA,NA
1958-F08,1958 Aug 12,1958-F08,P   F,NOTS 2,Diagnostic Payload 2,F00021,NOTS EV1,2,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F09,1958 Aug 17 1218,1958-F09,P   F,Pioneer Lunar Probe,Able I,F00023,Thor Able I,127,-,CC,LC17A,-,-,AFBMD,OF,NASA-5-25-59W-V3,NA,NA
1958-F10,1958 Aug 22,1958-F10,P   F,NOTS 3,Diagnostic Payload 3,F00027,NOTS EV1,3,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F11,1958 Aug 24 0617:22,1958-F11,P   F,Explorer V,Explorer 5,F00029,Jupiter C,RS/CC-47 HN,-,CC,LC5,-,-,ABMA,OF,JunoFam,NA,NA
1958-F12,1958 Aug 25,1958-F12,P   F,NOTS 4,Radiation Payload 1,F00032,NOTS EV1,4,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F13,1958 Aug 26,1958-F13,P   F,NOTS 5,Radiation Payload 2,F00035,NOTS EV1,5,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F14,1958 Aug 28,1958-F14,P   F,NOTS 6,Radiation Payload 3,F00038,NOTS EV1,6,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F15,1958 Sep 23 0740:23,1958-F15,P   F,AMS,E-1 No. 1,F00040,Vostok,B1-3,-,NIIP-5,LC1,-,-,MVS,OF,AK15,8600,4717
1958-U01,1958 Sep 26 1538,1958-U01,P   F,Vanguard,Cloud cover satellite,F00042,Vanguard,SLV-3,-,CC,LC18A,-,-,NRL,OF,Vang-ER10303,948600,9
1958 ETA,1958 Oct 11 0842:13,1958 ETA,P,Pioneer I,Able II,S00110,Thor Able I,130,-,CC,LC17A,-,-,AFBMD,OS,NASA-5-25-59W-V3,NA,NA
1958-F17,1958 Oct 11 2141:58,1958-F17,P   F,AMS,E-1 No. 2,F00044,Vostok,B1-4,-,NIIP-5,LC1,-,-,MVS,OF,AK15,8600,4717
1958-F18,1958 Oct 23 0321:04,1958-F18,P   F,Beacon,12-foot sphere,F00048,Jupiter C,RS/CC-49 HE,-,CC,LC5,-,-,ABMA,OF,JPL-FOM-59-10,NA,NA
1958-F19,1958 Nov  8 0730:21,1958-F19,P   F,Pioneer II,Able III,F00051,Thor Able I,129,-,CC,LC17A,-,-,AFBMD,OF,NASA-5-25-59W-V3,NA,NA
1958-F20,1958 Dec  4 1818:45,1958-F20,P   F,AMS,E-1 No. 3,F00054,Vostok,B1-5,-,NIIP-5,LC1,-,-,MVS,OF,AK15,8600,4717
1958 THE,1958 Dec  6 0544:52,1958 THE,P,Pioneer III,Pioneer 3,S00111,Juno II,AM-11,-,CC,LC5,-,-,ABMA,OS,JPL32-31-2,NA,NA
1958 ZET,1958 Dec 18 2302,1958 ZET,P A,SCORE,SCORE,S00010,Atlas B,10B,-,CC,LC11,-,-,AFBMD,OS,AP,NA,NA
1959 MU,1959 Jan  2 1641:21,1959 MU 1,P   D,AMS Luna-1,E-1 No. 4,S00112,Vostok,B1-6,-,NIIP-5,LC1,-,-,MVS,DS,Energiya,8600,4717
1959 ALP,1959 Feb 17 1555,1959 ALP 1,P,Vanguard II,Cloud cover satellite,S00011,Vanguard,SLV-4,-,CC,LC18A,-,-,NRL,OS,Vang-ER10304,948600,9
1959 BET,1959 Feb 28 2149:16,1959 BET,P A,Discoverer 1,CORONA Test Vehicle 2,S00013,Thor Agena A,163/1022,-,V,75-3-4,-,-,AFBMD,OF,NRO2D4,NA,NA
1959 NU,1959 Mar  3 0510:56,1959 NU 1,P   D,Pioneer IV,Pioneer 4,S00113,Juno II,AM-14,-,CC,LC5,-,-,ABMA,DS,JPL32-31-2,NA,NA
1959 GAM,1959 Apr 13 2118:39,1959 GAM,P A,Discoverer 2,CORONA BIO 1,S00014,Thor Agena A,170/1018,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 GAM,1959 Apr 13 2118:39,1959 GAM,PX-RT--,SRV,SRV,A00023,Thor Agena A,170/1018,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959-F01,1959 Apr 14 0249:46,1959-F01,P   F,Vanguard,Magnetometer satellite,F00056,Vanguard,SLV-5,-,CC,LC18A,-,-,NRL,OF,Vang-ER10589,948600,9
1959-F01,1959 Apr 14 0249:46,1959-F01,P   F,Vanguard 30-inch Sphere,30-inch sphere,F00058,Vanguard,SLV-5,-,CC,LC18A,-,-,NRL,OF,Vang-ER10589,948600,9
1959-F02,1959 Jun  3 2009:20,1959-F02,P   F,Discoverer 3,CORONA BIO 2,F00060,Thor Agena A,174/1020,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1959-F02,1959 Jun  3 2009:20,1959-F02,PX-RF--,SRV,SRV,F00062,Thor Agena A,174/1020,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1959-F06,1959 Jun 18 0808,1959-F06,P   F,AMS,E-1 No. 5,F00064,Vostok,I1-7,-,NIIP-5,LC1,-,-,MVS,OF,NezavB,8600,4717
1959-F03,1959 Jun 22 2016:09,1959-F03,P   F,Vanguard,Radiation Balance sat,F00066,Vanguard,SLV-6,-,CC,LC18A,-,-,NRL,OF,Vang-ER-SLV6,948600,9
1959-U01,1959 Jun 25 2247:45,1959-U01,P   F,Discoverer 4,CORONA C-1,F00068,Thor Agena A,179/1023,-,V,75-3-5,-,-,AFBMD,OF,NRO3E3,NA,NA
1959-U01,1959 Jun 25 2247:45,1959-U01,PX-RF--,SRV 102,SRV,F00070,Thor Agena A,179/1023,-,V,75-3-5,-,-,AFBMD,OF,NRO3E3,NA,NA
1959-F05,1959 Jul 16 1737:03,1959-F05,P   F,NASA S-1,NASA S-1,F00072,Juno II,AM-16,-,CC,LC5,-,-,ABMA,OF,JPL32-31-3,NA,NA
1959 DEL,1959 Aug  7 1424:20,1959 DEL 1,P,Explorer VI,Able III?,S00015,Thor Able III,134,-,CC,LC17A,-,-,AFBMD,OS,RAE/PSC,NA,NA
1959 EPS,1959 Aug 13 1900:08,1959 EPS 1,P A,Discoverer 5,CORONA C-2,S00018,Thor Agena A,192/1029,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 EPS,1959 Aug 13 1900:08,1959 EPS 2,PX-R---,SRV 111,SRV,S00026,Thor Agena A,192/1029,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959-F07,1959 Aug 15 0031:00,1959-F07,P   F,Beacon,12-foot sphere,F00074,Juno II,AM-19B,-,CC,LC26B,-,-,ABMA,OF,JPL32-31-3,NA,NA
1959 ZET,1959 Aug 19 1924:44,1959 ZET,P A,Discoverer 6,CORONA C-3,S00019,Thor Agena A,200/1028,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 ZET,1959 Aug 19 1924:44,1959 ZET,PX-RT--,SRV 105,SRV,A00032,Thor Agena A,200/1028,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 XI,1959 Sep 12 0639:42,1959 XI 1,P   D,AMS Luna-2,E-1 No. 7,S00114,Vostok,I1-7B,-,NIIP-5,LC1,-,-,MVS,DS,JBIS51-231,8600,4717
1959-F08,1959 Sep 17 1434,1959-F08,P   F,Transit I-A,Transit 1A,F00077,Thor Able II,136,-,CC,LC17A,-,-,AFBMD,OF,SanMateoTimes590917,NA,NA
1959 ETA,1959 Sep 18 0520:07,1959 ETA,P A,Vanguard III,Magne-Ray satellite,S00020,Vanguard,SLV-7,-,CC,LC18A,-,-,NRL,OS,Vang-ER-SLV7,948600,9
1959 THE,1959 Oct  4 0043:39,1959 THE 1,P   D,AMS Luna-3,E-2A,S00021,Vostok,I1-8,-,NIIP-5,LC1,-,-,MVS,DS,NezavB,8600,4717
1959 IOT,1959 Oct 13 1530:04,1959 IOT 1,P,Explorer 7,NASA S-1A,S00022,Juno II,AM-19A,-,CC,LC5,-,-,ABMA,OS,FOM-JUNO-AM16A,NA,NA
1959 KAP,1959 Nov  7 2028:41,1959 KAP,P A,Discoverer 7,CORONA C-4,S00024,Thor Agena A,206/1051,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 KAP,1959 Nov  7 2028:41,1959 KAP,PXAR---,SRV 109,SRV,A00038,Thor Agena A,206/1051,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 LAM,1959 Nov 20 1925:24,1959 LAM,P A,Discoverer 8,CORONA C-5,S00025,Thor Agena A,212/1050,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1959 LAM,1959 Nov 20 1925:24,1959 LAM,PX-RT--,SRV 107,SRV,A00041,Thor Agena A,212/1050,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1959-F09,1959 Nov 26 0726,1959-F09,P   F,NASA P-3,Able IVB,F00081,Atlas Able,20D,-,CC,LC14,-,-,AFBMD,OF,KHR-1,NA,NA
1960-F01,1960 Feb  4 1851:45,1960-F01,P   F,Discoverer 9,CORONA C-6,F00083,Thor Agena A,218/1052,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F01,1960 Feb  4 1851:45,1960-F01,PX-RF--,SRV 113,SRV,F00085,Thor Agena A,218/1052,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F01,1960 Feb  4 1851:45,1960-F01,PXA F,TOD-1,Transit-On-Discoverer,F00086,Thor Agena A,218/1052,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F02,1960 Feb 19 2015:14,1960-F02,P   F,Discoverer 10,CORONA C-7,F00088,Thor Agena A,223/1054,-,V,75-3-5,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F02,1960 Feb 19 2015:14,1960-F02,PX-RF--,SRV 110,SRV,F00090,Thor Agena A,223/1054,-,V,75-3-5,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F02,1960 Feb 19 2015:14,1960-F02,PXA F,TOD-2,Transit-On-Discoverer,F00091,Thor Agena A,223/1054,-,V,75-3-5,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F03,1960 Feb 26 1725:30,1960-F03,P   F,Midas 1,Midas ETS-I F1,F00093,Atlas Agena,29D/1008,-,CC,LC14,-,-,AFBMD,OF,WS117L-571,NA,NA
1960 ALP,1960 Mar 11 1300:07,1960 ALP 1,P   D,Pioneer V,Able VI?,S00027,Thor Able IV,219,-,CC,LC17A,-,-,AFBMD,DS,NASA-PR60-145,NA,NA
1960-F04,1960 Mar 23 1335:11,1960-F04,P   F,NASA S-46,NASA S-46,F00096,Juno II,AM-19C,-,CC,LC26B,-,-,MSFC,OF,ABMA,NA,NA
1960 BET,1960 Apr  1 1140:09,1960 BET 2,P,Tiros 1,NASA A-1,S00029,Thor Able II,148,-,CC,LC17A,-,-,AFBMD,OS,NASA-TR-R131,NA,NA
1960 GAM,1960 Apr 13 1202:36,1960 GAM 2,P,Transit I-B,Transit 1B,S00031,Thor Ablestar,257/AB002,-,CC,LC17B,-,-,AFBMD,OS,RAE/PSC,NA,NA
1960 GAM,1960 Apr 13 1202:36,1960 GAM 3,PX-D---,Dummy subsatellite?,-,S00033,Thor Ablestar,257/AB002,-,CC,LC17B,-,-,AFBMD,OS,RAE/PSC,NA,NA
1960-U01,1960 Apr 15 1506:45,1960-U01,PX--D--,AMS,E-3 No. 1,A00045,Vostok,L1-9/I-19AMS,-,NIIP-5,LC1,-,-,RVSN,OF,NezavB,8600,4717
1960 DEL,1960 Apr 15 2030:37,1960 DEL,P A,Discoverer 11,CORONA C-8,S00032,Thor Agena A,234/1055,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 DEL,1960 Apr 15 2030:37,1960 DEL,PXA,TOD-3,Transit-On-Discoverer,A00047,Thor Agena A,234/1055,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 DEL,1960 Apr 15 2030:37,1960 DEL,PX-RT--,SRV 103,SRV,A00049,Thor Agena A,234/1055,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960-F06,1960 Apr 16 1607:41,1960-F06,P   F,AMS,E-3 No. 2,F00098,Vostok,L1-9A,-,NIIP-5,LC1,-,-,RVSN,OF,NezavB,8600,4717
1960-F07,1960 May 13 0916:05,1960-F07,P   F,Echo,NASA A-10,F00101,Thor Delta,144/D001,-,CC,LC17A,-,-,GSFC,OF,TR-1022,NA,NA
1960 EPS,1960 May 15 0000:05,1960 EPS 3,PP-H,Korabl'-Sputnik,Vostok-1P,S00036,Vostok,L1-11,-,NIIP-5,LC1,-,-,RVSN,OS,VSA074,8600,4717
1960 ZET,1960 May 24 1736:46,1960 ZET 1,P A,Midas 2,Midas ETS-I F2,S00043,Atlas Agena,45D/1007,-,CC,LC14,-,-,AFBMD,OS,RAE/PSC,NA,NA
1960 ETA,1960 Jun 22 0554,1960 ETA 1,P,Transit II-A,Transit 2A,S00045,Thor Ablestar,281/AB003,-,CC,LC17B,-,-,AFBMD,OS,SpaceWorld6111-33,NA,NA
1960 ETA,1960 Jun 22 0554,1960 ETA 2,P,GREB,GRAB SV2,S00046,Thor Ablestar,281/AB003,-,CC,LC17B,-,-,AFBMD,OS,SpaceWorld6111-33,NA,NA
1960-F08,1960 Jun 29 2200:44,1960-F08,P   F,Discoverer 12,CORONA Diagnostic 1,F00104,Thor Agena A,160/1053,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F08,1960 Jun 29 2200:44,1960-F08,PX-RF--,SRV (GRD),SRV,F00106,Thor Agena A,160/1053,-,V,75-3-4,-,-,AFBMD,OF,NRO3E24,NA,NA
1960-F09,1960 Jul 28 0931,1960-F09,P   F,Korabl'-Sputnik,Vostok-1 No. 1,F00108,Vostok,L1-10,-,NIIP-5,LC1,-,-,RVSN,OF,NezavB,8600,4717
1960 THE,1960 Aug 10 2037:54,1960 THE,P A,Discoverer 13,CORONA Diagnostic 2,S00048,Thor Agena A,231/1057,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 THE,1960 Aug 10 2037:54,1960 THE,PX-RT--,SRV (GRD),SRV,A00053,Thor Agena A,231/1057,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 THE,1960 Aug 10 2037:54,1960 THE,PXAS,SOCTOP 1,AFTRACK 1 (SOCTOP),A08349,Thor Agena A,231/1057,-,V,75-3-5,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 IOT,1960 Aug 12 0939:43,1960 IOT 1,P,Echo 1,NASA A-11,S00049,Thor Delta,270/D002,-,CC,LC17A,-,-,GSFC,OS,TR-1022,NA,NA
1960 KAP,1960 Aug 18 1957:08,1960 KAP,P A,Discoverer 14,CORONA C-9,S00054,Thor Agena A,237/1056,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 KAP,1960 Aug 18 1957:08,1960 KAP,PXA,TOD-4,Transit-On-Discoverer,A00055,Thor Agena A,237/1056,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1960 KAP,1960 Aug 18 1957:08,1960 KAP,PX-RT--,SRV 101,SRV,A00057,Thor Agena A,237/1056,-,V,75-3-4,-,-,AFBMD,OS,NRO3E24,NA,NA
1960-F10,1960 Aug 18 1958,1960-F10,P   F,Courier 1A,Courier 1A,F00111,Thor Ablestar,262/AB004,-,CC,LC17B,-,-,AFBMD,OF,Wire,NA,NA
1960 LAM,1960 Aug 19 0844:06,1960 LAM 1,PP-H,Korabl'-Sputnik-2,Vostok-1 No. 2,S00055,Vostok,L1-12,-,NIIP-5,LC1,-,-,RVSN,OS,NezavB,8600,4717
1960 MU,1960 Sep 13 2213:39,1960 MU,P A,Discoverer 15,CORONA C-10,S00057,Thor Agena A,246/1058,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 MU,1960 Sep 13 2213:39,1960 MU,PXA,Discoverer Optical Beacon,SAO Optical Tracking,A00060,Thor Agena A,246/1058,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 MU,1960 Sep 13 2213:39,1960 MU,PX-RT--,SRV 106,SRV,A00062,Thor Agena A,246/1058,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 MU,1960 Sep 13 2213:39,1960 MU,PXAS,SOCTOP 2,AFTRACK 2 (SOCTOP),A08350,Thor Agena A,246/1058,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960-F11,1960 Sep 25 1513:17,1960-F11,P   F,NASA P-30,Able VA,F00113,Atlas Able,80D,-,CC,LC12,-,-,AFBMD,OF,KHR-1,NA,NA
1960 NU,1960 Oct  4 1750,1960 NU 1,P,Courier 1B,Courier 1B,S00058,Thor Ablestar,293/AB005,-,CC,LC17B,-,-,AFBMD,OS,MR601010-40,NA,NA
1960-F12,1960 Oct 10 1427:49,1960-F12,P   F,AMS,1M No. 1,F00117,Molniya,L1-4M,-,NIIP-5,LC1,-,-,RVSN,OF,KIAM,15700,3700
1960-F13,1960 Oct 11 2033:28,1960-F13,P   F,Samos 1,SAMOS E-1 No. 1,F00119,Atlas Agena,57D/2101,-,PA,LC1-1,-,-,AFBMD,OF,WS117L-571,NA,NA
1960-F13,1960 Oct 11 2033:28,1960-F13,P   F,Samos 1 F-1,SAMOS F-1 No. 1,F01410,Atlas Agena,57D/2101,-,PA,LC1-1,-,-,AFBMD,OF,WS117L-571,NA,NA
1960-F14,1960 Oct 14 1351:03,1960-F14,P   F,AMS,1M No. 2,F00123,Molniya,L1-5M,-,NIIP-5,LC1,-,-,RVSN,OF,KIAM,15700,3700
1960-F15,1960 Oct 26 2026:09,1960-F15,P   F,Discoverer 16,CORONA C'-1,F00125,Thor Agena B,253/1061,-,V,75-3-4,-,-,AFBMD,OF,VCR,NA,NA
1960-F15,1960 Oct 26 2026:09,1960-F15,PX-RF--,SRV 506,SRV,F00127,Thor Agena B,253/1061,-,V,75-3-4,-,-,AFBMD,OF,VCR,NA,NA
1960-F15,1960 Oct 26 2026:09,1960-F15,PXA F,TOD-5,Transit-On-Discoverer,F00128,Thor Agena B,253/1061,-,V,75-3-4,-,-,AFBMD,OF,VCR,NA,NA
1960-F15,1960 Oct 26 2026:09,1960-F15,PXA F,SOCTOP 3,AFTRACK 3 (SOCTOP),F01461,Thor Agena B,253/1061,-,V,75-3-4,-,-,AFBMD,OF,VCR,NA,NA
1960 XI,1960 Nov  3 0523:10,1960 XI 1,P,Explorer 8,NASA S-30,S00060,Juno II,AM-19D,-,CC,LC26B,-,-,MSFC,OS,ABMA,NA,NA
1960 OMI,1960 Nov 12 2042:32,1960 OMI,P A,Discoverer 17,CORONA C'-2,S00061,Thor Agena B,297/1062,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 OMI,1960 Nov 12 2042:32,1960 OMI,PXA,TOD-6,Transit-On-Discoverer,A00068,Thor Agena B,297/1062,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 OMI,1960 Nov 12 2042:32,1960 OMI,PX-RT--,SRV 507,SRV,A00070,Thor Agena B,297/1062,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 OMI,1960 Nov 12 2042:32,1960 OMI,PXAS,SOCTOP 4,AFTRACK 4 (SOCTOP),A08351,Thor Agena B,297/1062,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960 PI,1960 Nov 23 1113:03,1960 PI 1,P,Tiros 2,NASA A-2,S00063,Thor Delta,245/D003,-,CC,LC17A,-,-,GSFC,OS,TR-1022,NA,NA
1960-F16,1960 Nov 30 1950,1960-F16,P   F,Transit III-A,Transit 3A,F00132,Thor Ablestar,283/AB006,-,CC,LC17B,-,-,AFBMD,OF,AP,NA,NA
1960-F16,1960 Nov 30 1950,1960-F16,P   F,SR 2,GRAB SV1,F00133,Thor Ablestar,283/AB006,-,CC,LC17B,-,-,AFBMD,OF,AP,NA,NA
1960 RHO,1960 Dec  1 0730:04,1960 RHO 1,PP-H,Korabl'-Sputnik-3,Vostok-1 No. 3,S00065,Vostok,L1-13,-,NIIP-5,LC1,-,-,RVSN,OS,NezavB,8600,4717
1960-F17,1960 Dec  4 2114,1960-F17,P   F,NASA S-56,NASA S-56,F00136,Scout,ST-3,-,WI,LA3,-,-,LARCN,OF,Wire,118500,122
1960 SIG,1960 Dec  7 2020:58,1960 SIG,P A,Discoverer 18,CORONA C'-3,S00067,Thor Agena B,296/1103,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1960 SIG,1960 Dec  7 2020:58,1960 SIG,PXA,TOD-7,Transit-On-Discoverer,A00073,Thor Agena B,296/1103,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1960 SIG,1960 Dec  7 2020:58,1960 SIG,PX-RT--,SRV 508,SRV,A00075,Thor Agena B,296/1103,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1960-F18,1960 Dec 15 0910,1960-F18,P   F,NASA P-31,Able VB,F00138,Atlas Able,91D,-,CC,LC12,-,-,AFBMD,OF,KHR-1,NA,NA
1960 TAU,1960 Dec 20 2032,1960 TAU,P A,Discoverer 19,CORONA RM-1,S00068,Thor Agena B,258/1101,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1960-F19,1960 Dec 22 0745:19,1960-F19,P   F,Korabl'-Sputnik,Vostok-1 No. 4,F00140,Vostok,L1-13A,-,NIIP-5,LC1,-,-,RVSN,OF,NezavB,8600,4717
1961 ALP,1961 Jan 31 2021:19,1961 ALP 1,P,Samos 2 F-1,SAMOS F-1 No. 2,S00070,Atlas Agena,70D/2102,-,PA,LC1-1,-,-,AFBMD,OS,VCR,NA,NA
1961 ALP,1961 Jan 31 2021:19,1961 ALP 2,P A,Samos 2,SAMOS E-1 No. 2,S00079,Atlas Agena,70D/2102,-,PA,LC1-1,-,-,AFBMD,OS,VCR,NA,NA
1961 BET,1961 Feb  4 0118:03,1961 BET 1,P A,Tyazholiy Sputnik,1VA No. 1,S00071,Molniya,L1-7V,-,NIIP-5,LC1,-,-,RVSN,OF40,NK9701-29,15700,3700
1961 GAM,1961 Feb 12 0034:36,1961 GAM 1,P   D,AMS Venera,1VA No. 2,S00080,Molniya,L1-6V,-,NIIP-5,LC1,-,-,RVSN,DS,NezavB,15700,3700
1961 DEL,1961 Feb 16 1305,1961 DEL 1,P,Explorer 9,NASA S-56A,S00081,Scout,ST-4,-,WI,LA3,-,-,LARCN,OS,NYT610217,118500,122
1961 EPS,1961 Feb 17 2025:02,1961 EPS 1,P A,Discoverer 20,ARGON 1,S00083,Thor Agena B,298/1104,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1961 EPS,1961 Feb 17 2025:02,1961 EPS 4,PX-R---,SRV 520,SRV,S00090,Thor Agena B,298/1104,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1961 EPS,1961 Feb 17 2025:02,1961 EPS 1,PXA,TOD-8,Transit-On-Discoverer,A00082,Thor Agena B,298/1104,-,V,75-3-4,-,-,AFBMD,OS,VCR,NA,NA
1961 ZET,1961 Feb 18 2257:58,1961 ZET,P A,Discoverer 21,CORONA RM-2,S00084,Thor Agena B,261/1102,-,V,75-3-5,-,-,AFBMD,OS,VCR,NA,NA
1961 ETA,1961 Feb 22 0345,1961 ETA,P A,Transit III-B,Transit 3B,S00087,Thor Ablestar,313/AB007,-,CC,LC17B,-,-,AFBMD,OS,"SR2,609",NA,NA
1961 ETA,1961 Feb 22 0345,1961 ETA,PXA,Lofti,Lofti,A00085,Thor Ablestar,313/AB007,-,CC,LC17B,-,-,AFBMD,OS,"SR2,609",NA,NA
1961-F01,1961 Feb 25 0013:16,1961-F01,P   F,NASA S-45,NASA S-45,F00143,Juno II,AM-19F,-,CC,LC26B,-,-,MSFC,OF,ABMA Memo,NA,NA
1961 THE,1961 Mar  9 0629:00,1961 THE 1,PP-H,Korabl'-Sputnik-4,Vostok-3 No. 1,S00091,Vostok,E103-14,-,NIIP-5,LC1,-,-,RVSN,OS,NezavB,8600,4717
1961 IOT,1961 Mar 25 0554:00,1961 IOT 1,PP,Korabl'-Sputnik-5,Vostok-3 No. 2,S00095,Vostok,E103-15,-,NIIP-5,LC1,-,-,RVSN,OS,NezavB,8600,4717
