Vehicle / Vehicle Family,Cost to LEO (FY21$/kg),Max. Payload Mass to LEO (kg),Source(s),Notes,Additional Tags,,,,,,,,,,,Source #1,,,,,,,,,Source #2,,,,,,,,,Source #3,,,,,,,,,Source #4,,,,,,,,,Source #5,,,,,,,,,
Atlas I,,,,,Atlas,Atlas I,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas II,18700,8618,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Atlas 2, 2A, 2AS.""","Lockheed Martin, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Atlas",Atlas II,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",15410,2010,"Xu, Hollingsworth, and Smith (2019)",132.8,,2010,8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas IIA,18700,8618,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Atlas 2, 2A, 2AS.""",Atlas,Atlas IIA,#REF!,#REF!,#REF!,Wertz and Larson (1996),"Xu, Hollingsworth, and Smith (2019)",,,,,Wertz and Larson (1996),12600,1995,Wertz and Larson (1996),80,90,1995,6760,,"Xu, Hollingsworth, and Smith (2019)",15410,2010,"Xu, Hollingsworth, and Smith (2019)",132.8,,2010,8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas IIAS,18700,8618,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Atlas 2, 2A, 2AS.""",Atlas,Atlas IIAS,#REF!,#REF!,#REF!,Futron (2002),"Xu, Hollingsworth, and Smith (2019)",,,,,Futron (2002),11314,2000,Futron (2002),97.5,,2000,8618,,"Xu, Hollingsworth, and Smith (2019)",15410,2010,"Xu, Hollingsworth, and Smith (2019)",132.8,,2010,8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas III,16000,10759,"Xu, Hollingsworth, and Smith (2019)",,"Lockheed Martin, Cape Canaveral / Kennedy Space Center, Atlas",Atlas III,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",13163,2010,"Xu, Hollingsworth, and Smith (2019)",141.62,,2010,10759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas V,8100,18814,FAA Office of Commercial Space Transportation (2018),"First Xu, Hollingsworth, and Smith estimate corresponds to ""Atlas 5 401, 411, 421, 431."" Second Xu, Hollingsworth, and Smith estimate corresponds to ""Atlas 5 501, 521, 531, 541, 551.""","United Launch Alliance, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Atlas",Atlas V,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019) - 1","Xu, Hollingsworth, and Smith (2019) - 2",GAO (2017),,,FAA Office of Commercial Space Transportation (2018),7654,2018,FAA Office of Commercial Space Transportation (2018),109,179,2018,18814,,"Xu, Hollingsworth, and Smith (2019) - 1",9682,2010,"Xu, Hollingsworth, and Smith (2019) - 1",152,,2010,15700,,"Xu, Hollingsworth, and Smith (2019) - 2",8406,2010,"Xu, Hollingsworth, and Smith (2019) - 2",172.5,,2020,20520,,GAO (2017),8398,2017,GAO (2017),137,179,2017,18814,,,,,,,,,,,
Black Arrow,,,,,,Black Arrow,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 0100-Series,,,,,Delta,Delta 0100-Series,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 1000-Series,,,,,Delta,Delta 1000-Series,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 2000-Series,37800,1860,"Xu, Hollingsworth, and Smith (2019)",,Delta,Delta 2000-Series,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",31129,2010,"Xu, Hollingsworth, and Smith (2019)",57.9,,2010,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 3000-Series,21400,3848,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Delta 3000, 4000, 5000.""","Boeing, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta 3000-Series,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",17633,2010,"Xu, Hollingsworth, and Smith (2019)",67.85,,2010,3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 3910,32800,3909,Hammond (1999),"Hammond estimate is labeled ""Delta/PAM D.""","Boeing, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta 3910,#REF!,#REF!,#REF!,Koelle (1991) / Missing,Hammond (1999),,,,,Koelle (1991) / Missing,28000,2018,Koelle (1991),,,,,Missing,Hammond (1999),21900,2000,Hammond (1999),86,,2000,3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 4000-Series,21400,3848,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Delta 3000, 4000, 5000.""",Delta,Delta 4000-Series,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",17633,2010,"Xu, Hollingsworth, and Smith (2019)",67.85,,2010,3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta 5000-Series,21400,3848,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Delta 3000, 4000, 5000.""",Delta,Delta 5000-Series,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",17633,2010,"Xu, Hollingsworth, and Smith (2019)",67.85,,2010,3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta A,,,,,Delta,Delta A,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta B,,,,,Delta,Delta B,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta C,,,,,Delta,Delta C,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta D,,,,,Delta,Delta D,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta E,177900,540,Koelle (1991) / Astronautix,"The Astronautix reference page is titled ""Thor Delta E.""","Boeing, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta E,#REF!,#REF!,#REF!,Koelle (1991) / Astronautix,,,,,,Koelle (1991) / Astronautix,167800,2018,Koelle (1991),13.93,,1985,540,Astronautix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta G,,,,,Delta,Delta G,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
