,LABEL,Rocket_Name,Longitude,Latitude,Booster_No,Booster_PropMass,Booster_Fuel_Type,Booster_StageMass,Stage1_PropMass,Stage1_Fuel_Type,Stage1_StageMass,Stage2_PropMass,Stage2_Fuel_Type,Stage2_StageMass,Stage3_PropMass,Stage3_Fuel_Type,Stage3_StageMass,Stage4_PropMass,Stage4_Fuel_Type,Stage4_StageMass,Fairing_Mass,H2O,H2,CO,CO2,BC,NOx,AI203,Cly
18,False,Long March (CZ) 7A,111.0,19.6,4,301000.0,Kerosene,24000.0,174000.0,Kerosene,12250.0,65000.0,Kerosene,5750.0,18200.0,Hydrogen,2740.0,0.0,,0.0,2500.0,202855600.0,6037000.0,171720000.0,343980000.0,11880000.0,0.0,0.0,0.0
19,False,Soyuz-2-1B Fregat-M,40.6,62.8,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5750.0,Hypergolic,960.0,0.0,,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
20,True,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
21,True,Soyuz-2-1B Fregat-M,63.4,45.6,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5750.0,Hypergolic,960.0,0.0,,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
22,False,Long March (CZ) 2C,102.0,28.2,0,0.0,,0.0,162706.0,Hypergolic,10000.0,54667.0,Hypergolic,4000.0,0.0,,0.0,0.0,,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
23,False,Atlas V 551,-81.0,28.5,5,213150.0,Solid,18150.0,284089.0,Kerosene,21351.0,20800.0,Hydrogen,2030.0,0.0,,0.0,0.0,,0.0,3524.0,182967960.0,8897640.0,138725352.0,204837493.0,9660358.0,0.0,69913200.0,46253550.0
24,False,Soyuz-2-1A,63.4,45.6,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,22790.0,Kerosene,2410.0,0.0,,0.0,0.0,,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
25,False,Long March (CZ) 3B,102.0,28.2,4,164400.0,Hypergolic,14200.0,186200.0,Hypergolic,11200.0,41000.0,Hypergolic,3924.0,18196.5,Hydrogen,2770.0,0.0,,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
26,False,Qased,55.333,36.201,0,0.0,,0.0,14400.0,Solid,2700.0,1500.0,Solid,200.0,398.0,Solid,133.33333333333334,0.0,,0.0,100.0,4921996.0,407450.0,3699646.0,1825376.0,260768.0,0.0,5345744.0,3536666.0
27,True,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
28,False,Soyuz-2-1A,63.4,45.6,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,22790.0,Kerosene,2410.0,0.0,,0.0,0.0,,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
29,False,Long March (CZ) 5B,111.0,19.6,4,574000.0,Kerosene,49000.0,158250.0,Hydrogen,17500.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2400.0,362588500.0,11278750.0,182532000.0,365638000.0,12628000.0,0.0,0.0,0.0
30,False,Kuaizhou-1,100.3,41.3,0,0.0,,0.0,16000.0,Solid,621.0,8000.0,Solid,686.0,3000.0,Solid,183.0,1000.0,Hypergolic,200.0,1756.0,8546000.0,679000.0,6198000.0,3174000.0,448000.0,10000.0,8856000.0,5859000.0
